CNT,YEAR,GAP,AVG_MATH,AVG_READ,AVG_SCIENCE,AVG_ESCS,N_STUDENTS
ALB,2009,66.99,385.08,394.84,399.87,-0.7762,2000
ALB,2018,44.64,441.7,412.35,423.54,-0.7227,2000
ALB,2022,52.4,376.94,366.34,383.89,-0.6047,2000
ARE,2009,79.1,430.95,439.55,446.43,0.2723,2000
ARE,2012,69.35,431.9,436.94,443.51,0.3252,2000
ARE,2015,47.32,421.01,426.17,430.22,0.5444,2000
ARE,2018,79.23,426.54,419.29,423.59,0.2264,2000
ARE,2022,55.2,421.87,403.2,422.75,0.3016,2000
ARG,2009,104.07,400.54,413.74,416.05,-0.482,2000
ARG,2012,73.7,411.01,424.51,428.06,-0.4257,2000
ARG,2018,93.13,402.31,427.03,427.45,-0.7339,2000
ARG,2022,85.02,401.01,424.8,429.17,-0.592,2000
AUS,2009,84.87,520.97,520.72,534.08,0.373,2000
AUS,2012,79.2,502.37,512.15,522.5,0.2259,2000
AUS,2015,78.48,491.08,501.38,507.05,0.2371,2000
AUS,2018,63.26,496.42,509.8,509.12,0.3527,2000
AUS,2022,92.06,493.34,505.86,515.24,0.4022,2000
AUT,2009,67.12,501.22,479.48,502.96,0.1601,2000
AUT,2012,79.59,515.11,498.8,515.56,0.2509,2000
AUT,2015,80.91,492.76,481.69,491.36,0.1593,2000
AUT,2018,74.75,502.7,490.46,496.35,0.103,2000
AUT,2022,97.64,491.04,484.63,495.18,0.1058,2000
AZE,2009,22.03,436.29,370.17,383.04,-0.559,2000
BEL,2009,99.73,518.55,508.15,511.31,0.2329,2000
BEL,2012,110.52,523.01,515.33,512.72,0.2178,2000
BEL,2015,100.36,499.25,493.01,495.66,0.1502,2000
BEL,2018,111.19,511.64,497.04,502.2,0.0914,2000
BEL,2022,112.67,492.95,486.92,496.81,0.1572,2000
BGR,2009,135.56,431.42,431.49,440.57,-0.0731,2000
BGR,2012,122.52,442.86,445.18,451.76,-0.1836,2000
BGR,2015,95.33,447.12,439.05,452.3,-0.0466,2000
BGR,2018,97.34,443.14,427.87,431.1,-0.1885,2000
BGR,2022,122.46,424.38,410.79,427.73,-0.2439,2000
BIH,2018,66.4,409.79,406.47,402.07,-0.5345,2000
BLR,2018,99.5,475.45,477.91,474.55,-0.0924,2000
BRA,2009,76.19,389.81,412.16,408.61,-1.09,2000
BRA,2012,87.17,406.4,423.54,418.5,-1.0131,2000
BRA,2015,83.33,385.18,419.3,410.96,-0.9178,2000
BRA,2018,92.84,399.55,432.47,420.44,-1.0088,2000
BRA,2022,88.61,391.88,425.96,418.38,-0.8283,2000
BRN,2018,79.28,448.75,430.74,451.76,-0.1229,2000
BRN,2022,78.75,453.82,443.96,459.02,-0.1353,2000
CAN,2009,67.0,540.82,534.41,536.53,0.5823,2000
CAN,2012,68.09,528.49,530.5,528.56,0.5292,2000
CAN,2015,69.68,525.3,531.06,532.64,0.6111,2000
CAN,2018,69.49,522.51,524.57,523.5,0.463,2000
CAN,2022,76.56,512.85,514.6,523.99,0.484,2000
CHE,2009,87.06,526.47,493.52,507.23,0.0525,2000
CHE,2012,68.33,520.88,501.59,505.36,0.2047,2000
CHE,2015,75.19,520.34,490.97,504.17,0.1773,2000
CHE,2018,84.75,520.62,489.7,499.02,0.095,2000
CHE,2022,116.64,507.99,484.77,502.96,0.2302,2000
CHL,2009,91.36,430.99,458.5,456.47,-0.4314,2000
CHL,2012,110.42,442.89,460.07,464.7,-0.2524,2000
CHL,2015,93.41,442.64,476.68,465.4,-0.1099,2000
CHL,2018,91.74,434.28,470.2,460.51,-0.2648,2000
CHL,2022,80.76,428.44,466.42,461.79,-0.1936,2000
COL,2009,91.81,402.26,441.92,423.84,-0.7677,2000
COL,2012,88.68,394.27,421.44,414.77,-0.9462,2000
COL,2015,70.09,398.77,439.65,427.0,-0.7984,2000
COL,2018,71.91,404.03,426.7,426.42,-0.9838,2000
COL,2022,78.51,391.95,422.08,422.55,-0.891,2000
CRI,2009,78.42,422.28,458.96,442.82,-0.5956,2000
CRI,2012,83.97,419.85,453.67,442.85,-0.6734,2000
CRI,2015,51.79,399.54,424.98,418.32,-0.7886,2000
CRI,2018,70.51,409.41,435.71,422.32,-0.7915,2000
CZE,2009,115.3,515.14,501.31,522.06,0.0588,2000
CZE,2012,109.19,519.53,515.26,529.04,0.0797,2000
CZE,2015,125.21,505.63,501.11,505.88,-0.0859,2000
CZE,2018,104.22,520.11,511.9,517.12,-0.0309,2000
CZE,2022,133.94,500.81,502.91,511.52,0.0412,2000
DEU,2009,117.32,514.58,498.08,520.15,0.2098,2000
DEU,2012,106.81,519.05,511.94,530.27,0.2529,2000
DEU,2015,83.15,518.64,526.57,525.58,0.2074,2000
DEU,2018,104.8,512.92,511.53,516.57,-0.0418,2000
DEU,2022,98.68,483.71,489.82,501.63,-0.1212,2000
DNK,2009,86.34,491.17,486.11,486.24,0.1541,2000
DNK,2012,88.68,489.58,487.4,487.62,0.3129,2000
DNK,2015,78.05,503.12,492.12,491.69,0.4688,2000
DNK,2018,68.27,506.89,497.88,489.11,0.4474,2000
DNK,2022,77.14,485.31,485.11,487.46,0.3735,2000
DOM,2015,63.8,338.38,370.66,341.7,-0.7589,2000
DOM,2018,63.24,335.98,353.15,345.45,-0.9408,2000
DOM,2022,57.26,348.16,366.29,370.55,-0.6025,2000
DZA,2015,21.61,361.37,351.44,378.18,-1.3552,2000
ESP,2009,81.88,493.43,489.65,494.94,-0.2078,2000
ESP,2012,63.78,503.64,503.34,511.85,-0.0471,2000
ESP,2015,82.99,495.36,503.77,501.19,-0.3367,2000
ESP,2018,72.78,495.67,488.08,496.26,-0.0143,2000
ESP,2022,73.09,492.39,490.15,500.97,0.0557,2000
EST,2009,60.54,511.76,500.7,526.49,0.2029,2000
EST,2012,63.21,525.31,520.21,544.91,0.1915,2000
EST,2015,70.2,522.44,524.49,537.83,0.1398,2000
EST,2018,72.12,528.12,528.21,534.57,0.1694,2000
EST,2022,74.58,519.72,521.01,535.02,0.2776,2000
FIN,2009,53.12,540.0,531.84,550.54,0.4501,2000
FIN,2012,82.17,508.45,514.23,528.63,0.3799,2000
FIN,2015,78.31,515.2,532.03,535.77,0.3027,2000
FIN,2018,85.18,511.52,526.29,527.42,0.3217,2000
FIN,2022,95.35,479.95,483.75,502.79,0.2088,2000
FRA,2009,117.58,501.05,500.49,502.9,-0.1084,2000
FRA,2012,108.48,500.6,506.64,502.55,0.0092,2000
FRA,2015,107.14,500.72,507.92,502.79,-0.057,2000
FRA,2018,127.6,496.7,492.89,492.1,-0.0317,2000
FRA,2022,125.1,477.55,476.13,491.71,0.0045,2000
GBR,2009,87.36,492.19,493.95,514.79,0.2416,2000
GBR,2012,88.86,501.57,506.63,519.51,0.3133,2000
GBR,2015,79.84,503.32,506.03,516.21,0.3021,2000
GBR,2018,79.08,508.1,513.35,509.63,0.3244,2000
GBR,2022,94.72,497.05,507.81,508.56,0.1669,2000
GEO,2009,83.31,389.35,383.61,383.02,-0.1749,2000
GEO,2015,93.14,411.0,407.95,417.19,-0.2466,2000
GEO,2018,73.34,409.38,391.56,392.54,-0.2822,2000
GEO,2022,68.81,401.27,385.99,394.68,-0.3546,2000
GRC,2009,94.38,475.14,495.16,481.4,0.1743,2000
GRC,2012,101.29,459.64,484.45,473.52,0.0792,2000
GRC,2015,82.89,466.82,482.98,469.19,0.1127,2000
GRC,2018,84.56,463.77,470.8,462.88,0.024,2000
GRC,2022,85.45,443.15,452.77,455.23,0.0256,2000
GTM,2022,49.2,344.97,372.9,372.32,-1.514,2000
HKG,2009,63.95,564.0,539.7,556.59,-0.697,2000
HKG,2012,61.01,563.91,547.78,557.3,-0.7824,2000
HKG,2015,53.7,555.14,532.58,529.35,-0.5463,2000
HKG,2018,54.99,555.68,532.29,523.42,-0.4654,2000
HKG,2022,68.71,550.86,508.23,527.99,-0.3767,2000
HRV,2009,73.7,460.74,476.84,487.8,-0.1441,2000
HRV,2012,66.14,470.25,485.5,490.14,-0.3253,2000
HRV,2015,65.89,465.48,488.83,476.61,-0.2536,2000
HRV,2018,62.42,463.25,477.6,470.02,-0.1981,2000
HRV,2022,70.97,467.66,480.65,486.89,-0.1144,2000
HUN,2009,106.28,499.03,502.34,509.39,-0.0935,2000
HUN,2012,112.51,484.53,497.16,502.29,-0.1978,2000
HUN,2015,113.27,489.18,480.95,488.04,-0.1239,2000
HUN,2018,105.47,491.58,486.29,490.62,-0.0405,2000
HUN,2022,112.82,483.83,484.25,496.73,0.0554,2000
IDN,2009,49.32,367.25,395.81,376.3,-1.6264,2000
IDN,2012,28.36,371.78,393.68,377.4,-1.8122,2000
IDN,2015,66.7,388.98,400.67,405.07,-1.7675,2000
IDN,2018,57.07,390.34,379.86,403.86,-1.4001,2000
IDN,2022,43.74,373.66,368.69,390.92,-1.4499,2000
IRL,2009,76.47,494.94,505.9,518.41,0.1627,2000
IRL,2012,98.29,505.64,526.79,527.89,0.2177,2000
IRL,2015,78.76,503.04,519.85,502.51,0.1933,2000
IRL,2018,69.63,499.28,517.41,496.58,0.1309,2000
IRL,2022,80.37,493.98,518.69,506.02,0.3418,2000
ISL,2009,61.21,511.23,503.57,499.18,0.7338,2000
ISL,2012,59.82,493.14,483.95,477.04,0.7931,2000
ISL,2015,57.5,491.45,485.89,475.69,0.7561,2000
ISL,2018,70.84,498.29,477.34,477.68,0.5456,2000
ISL,2022,71.93,459.91,435.72,446.72,0.3812,2000
ISR,2009,107.61,450.95,479.29,456.51,-0.0221,2000
ISR,2012,113.39,469.28,490.76,472.57,0.1786,2000
ISR,2015,96.11,470.3,478.58,467.51,0.1781,2000
ISR,2018,97.05,466.89,474.03,464.26,0.3397,2000
ISR,2022,123.76,460.36,475.34,466.84,0.2647,2000
ITA,2009,53.55,472.87,471.7,479.4,-0.0795,2000
ITA,2012,66.54,489.5,493.39,500.22,0.0321,2000
ITA,2015,72.37,499.62,493.39,493.51,-0.0316,2000
ITA,2018,72.38,496.52,478.09,475.75,-0.1682,2000
ITA,2022,81.96,468.72,474.06,475.02,-0.0365,2000
JAM,2022,51.75,373.67,405.34,399.48,-0.53,2000
JOR,2009,68.95,403.2,418.61,432.5,-0.4017,2000
JOR,2012,54.75,394.21,407.14,416.2,-0.3786,2000
JOR,2015,65.2,385.08,413.36,414.73,-0.3608,2000
JOR,2018,60.59,398.81,419.67,429.95,-0.7035,2000
JOR,2022,46.45,370.08,353.9,385.24,-0.7496,2000
JPN,2009,80.85,524.29,516.73,535.76,-0.0336,2000
JPN,2012,77.43,531.96,534.14,542.93,-0.0632,2000
JPN,2015,80.59,526.63,510.19,531.02,-0.214,2000
JPN,2018,64.94,519.33,494.59,519.16,-0.1134,2000
JPN,2022,85.17,528.94,509.89,539.26,-0.0182,2000
KAZ,2009,70.64,412.94,399.94,408.33,-0.4009,2000
KAZ,2012,55.65,429.52,393.36,423.8,-0.2669,2000
KAZ,2018,72.75,438.72,405.88,415.1,-0.2842,2000
KAZ,2022,71.62,440.81,401.48,438.73,-0.2679,2000
KGZ,2009,96.89,342.04,327.2,341.13,-0.5041,2000
KHM,2022,34.25,335.35,326.07,345.02,-1.8546,2000
KOR,2009,74.33,549.17,543.19,540.08,-0.1318,2000
KOR,2012,73.27,559.61,542.02,542.73,0.0359,2000
KOR,2015,98.12,526.42,522.65,520.65,-0.1944,2000
KOR,2018,91.55,534.05,520.32,526.26,0.1326,2000
KOR,2022,107.52,542.12,525.02,540.61,0.3161,2000
KSV,2015,55.23,367.26,347.91,380.63,-0.0544,2000
KSV,2018,52.16,368.22,355.82,367.25,-0.3948,2000
KSV,2022,45.66,357.87,343.93,359.46,-0.2637,2000
LBN,2015,59.65,400.22,351.4,389.47,-0.5777,2000
LBN,2018,86.17,395.32,353.9,382.48,-0.574,2000
LIE,2009,80.49,533.32,496.57,517.57,0.0845,658
LIE,2012,76.89,537.9,518.35,525.54,0.2987,586
LTU,2009,88.79,477.14,470.38,492.72,-0.0368,2000
LTU,2012,86.18,478.76,476.31,495.69,-0.1178,2000
LTU,2015,81.32,479.51,470.82,473.85,-0.0148,2000
LTU,2018,97.48,490.23,483.58,488.81,0.1395,2000
LTU,2022,106.9,481.82,475.44,488.93,0.1349,2000
LUX,2009,111.47,493.1,478.35,489.1,0.2222,2000
LUX,2012,108.75,491.3,491.64,494.01,0.1359,2000
LUX,2015,127.96,489.18,486.73,487.68,0.1498,2000
LUX,2018,121.73,481.67,470.54,476.88,0.0746,2000
LVA,2009,71.46,487.32,488.98,496.86,-0.0289,2000
LVA,2012,72.58,495.64,496.17,507.46,-0.1934,2000
LVA,2015,58.42,483.9,488.73,490.83,-0.4241,2000
LVA,2018,63.73,491.87,474.44,484.57,-0.0125,2000
LVA,2022,71.04,485.09,476.23,495.45,0.0159,2000
MAC,2009,31.5,524.31,483.73,506.7,-0.6571,2000
MAC,2012,40.73,536.2,505.77,518.11,-0.8389,2000
MAC,2015,43.28,542.93,504.78,525.3,-0.4665,2000
MAC,2018,50.81,555.21,522.47,540.47,-0.4443,2000
MAC,2022,50.55,551.19,509.41,541.98,-0.4424,2000
MAR,2018,62.76,370.94,362.74,378.71,-1.717,2000
MAR,2022,59.66,370.31,342.88,369.41,-1.5839,2000
MDA,2009,87.51,396.15,387.46,411.45,-0.5478,2000
MDA,2015,93.78,422.85,421.21,430.97,-0.6314,2000
MDA,2018,100.54,424.5,427.53,431.14,-0.5634,2000
MDA,2022,86.53,421.83,418.11,425.53,-0.4257,2000
MEX,2009,78.36,429.35,438.39,425.08,-1.0226,2000
MEX,2012,64.6,422.24,433.45,422.46,-0.9034,2000
MEX,2015,69.32,415.7,435.06,424.68,-1.0292,2000
MEX,2018,70.54,417.68,432.32,426.3,-0.9316,2000
MEX,2022,66.65,404.04,427.09,420.02,-0.7107,2000
MKD,2015,72.38,370.78,348.53,381.97,-0.2126,2000
MKD,2018,89.37,400.29,395.06,416.75,-0.2559,2000
MKD,2022,83.44,395.31,363.41,386.24,-0.1964,2000
MLT,2009,67.57,485.78,469.1,488.04,0.1751,2000
MLT,2015,85.12,492.31,461.39,478.37,0.0414,2000
MLT,2018,72.69,482.19,458.12,466.9,0.1893,2000
MLT,2022,69.74,475.91,456.4,476.29,0.1175,2000
MNE,2009,73.28,402.48,405.26,400.97,-0.2636,2000
MNE,2012,68.88,406.85,419.85,408.6,-0.2549,2000
MNE,2015,42.92,414.91,425.1,408.95,-0.182,2000
MNE,2018,63.29,428.69,420.7,414.81,-0.1706,2000
MNE,2022,68.21,407.35,407.83,406.07,-0.1961,2000
MNG,2022,95.84,425.97,378.48,412.64,-0.6478,2000
MUS,2009,91.68,409.56,396.36,406.11,-0.6208,2000
MYS,2009,69.15,412.47,420.68,430.72,-0.4148,2000
MYS,2012,85.35,429.29,402.84,423.73,-0.661,2000
MYS,2018,96.57,449.59,421.93,444.2,-0.627,2000
MYS,2022,94.62,417.02,390.49,420.06,-0.5332,2000
NLD,2009,80.78,531.62,515.19,529.87,0.3216,2000
NLD,2012,74.36,520.62,508.66,520.11,0.2498,2000
NLD,2015,74.67,514.3,504.58,510.67,0.1668,2000
NLD,2018,85.4,515.87,485.01,499.78,0.2676,2000
NLD,2022,96.66,491.51,457.31,487.04,0.2631,2000
NOR,2009,70.96,495.09,501.38,495.77,0.4557,2000
NOR,2012,66.26,493.34,507.84,498.3,0.4638,2000
NOR,2015,70.46,498.75,509.02,494.58,0.4777,2000
NOR,2018,68.64,502.44,501.53,492.49,0.5367,2000
NOR,2022,81.49,470.93,480.49,481.52,0.5345,2000
NZL,2009,107.64,527.98,527.91,538.65,0.1912,2000
NZL,2012,112.04,510.12,522.63,525.49,0.1125,2000
NZL,2015,92.56,507.76,522.56,526.84,0.2368,2000
NZL,2018,93.87,503.34,514.39,516.83,0.2734,2000
NZL,2022,97.05,490.7,509.85,514.34,0.3271,2000
PAN,2009,95.99,374.52,393.1,389.26,-0.5343,2000
PAN,2018,77.91,360.38,385.09,372.72,-0.8988,2000
PAN,2022,72.15,361.49,397.37,393.32,-0.8005,2000
PER,2009,123.7,382.2,387.41,386.29,-1.0943,2000
PER,2012,98.71,387.4,404.05,389.95,-0.9421,2000
PER,2015,95.62,392.86,407.12,403.43,-0.9864,2000
PER,2018,88.64,407.34,408.21,409.68,-0.9866,2000
PER,2022,90.51,399.16,416.26,416.2,-1.0156,2000
PHL,2018,79.99,362.02,350.97,365.63,-1.2355,2000
PHL,2022,44.29,366.83,364.57,370.7,-1.1128,2000
POL,2009,105.76,507.27,511.8,518.78,-0.0862,2000
POL,2012,116.7,529.54,528.27,536.7,0.0061,2000
POL,2015,84.49,510.74,511.67,508.13,-0.3565,2000
POL,2018,95.49,525.03,520.78,519.54,-0.0625,2000
POL,2022,93.93,495.12,495.36,505.11,-0.0529,2000
PRT,2009,106.36,495.82,497.55,499.32,-0.1584,2000
PRT,2012,109.0,495.48,495.45,496.44,-0.3568,2000
PRT,2015,118.19,487.82,490.61,494.89,-0.4924,2000
PRT,2018,103.98,494.59,491.74,491.96,-0.3325,2000
PRT,2022,110.4,478.1,480.23,488.05,-0.1709,2000
PRY,2022,64.8,345.08,383.12,375.86,-1.1452,2000
PSE,2022,56.78,375.7,359.52,379.39,-0.7864,2000
QAR,2015,105.3,459.75,480.15,478.69,0.0851,2000
QAT,2009,61.59,382.76,384.56,390.7,0.5481,2000
QAT,2012,66.33,389.99,401.42,397.23,0.4976,2000
QAT,2015,56.29,409.18,411.29,425.0,0.6003,2000
QAT,2018,69.97,416.89,408.85,421.3,0.3118,2000
QAT,2022,58.78,406.43,405.99,420.99,0.1338,2000
QAZ,2018,46.91,421.93,390.01,399.39,-0.5095,2000
QAZ,2022,54.67,399.17,368.59,382.64,-0.4328,2000
QCH,2015,102.79,540.72,503.56,527.27,-0.9033,2000
QCI,2018,86.11,590.56,557.54,590.64,-0.393,2000
QCN,2009,99.33,606.03,559.34,578.21,-0.4416,2000
QCN,2012,100.49,619.67,574.57,584.81,-0.2755,2000
QES,2015,72.99,495.75,505.46,502.16,-0.4303,2000
QHP,2009,52.93,341.61,319.86,329.75,-1.3192,2000
QMR,2018,52.39,496.49,486.95,486.33,0.3481,2000
QRS,2012,70.44,487.46,488.43,484.53,-0.0956,2000
QRT,2018,49.48,474.91,463.58,464.85,0.1725,2000
QTN,2009,16.26,345.79,325.72,340.42,-1.6785,2000
QUC,2015,88.65,499.91,526.4,528.78,0.1923,1624
QUD,2015,87.14,382.75,417.03,408.63,-0.2524,1385
QUE,2015,80.43,471.19,499.94,502.47,0.0203,1869
QUR,2022,94.28,444.95,432.03,456.38,-0.2884,2000
QVE,2009,124.02,399.12,425.95,423.11,-0.0259,2000
ROU,2009,73.69,423.93,421.73,426.13,-0.3428,2000
ROU,2012,96.28,447.88,441.52,439.92,-0.4317,2000
ROU,2015,83.48,443.95,434.96,436.31,-0.5731,2000
ROU,2018,109.44,426.65,424.56,421.83,-0.4702,2000
ROU,2022,121.0,435.31,436.42,436.65,-0.2824,2000
RUS,2009,69.39,468.37,459.82,478.96,-0.165,2000
RUS,2012,76.1,481.26,476.75,486.66,-0.0663,2000
RUS,2015,48.43,495.47,496.75,486.59,0.0831,2000
RUS,2018,67.29,486.37,478.04,477.41,0.1666,2000
SAU,2018,67.45,379.64,405.88,392.83,-0.5409,2000
SAU,2022,49.78,394.4,385.13,394.65,-0.1233,2000
SGP,2009,99.18,557.75,523.1,537.62,-0.4074,2000
SGP,2012,92.28,568.82,536.1,547.11,-0.2236,2000
SGP,2015,99.33,558.49,529.69,549.33,0.0365,2000
SGP,2018,83.14,571.79,552.41,553.35,0.2833,2000
SGP,2022,102.1,580.02,549.11,567.22,0.4293,2000
SLV,2022,53.33,352.1,379.13,383.18,-1.1883,2000
SRB,2009,73.54,442.78,444.68,443.39,0.0937,2000
SRB,2012,91.05,453.93,449.78,447.8,-0.253,2000
SRB,2018,70.92,445.8,436.88,437.41,-0.2306,2000
SRB,2022,68.4,440.83,440.1,448.22,-0.1937,2000
SVK,2009,99.42,502.9,486.41,499.21,-0.0364,2000
SVK,2012,126.53,493.34,478.65,483.01,-0.0548,2000
SVK,2015,96.13,483.94,463.87,469.57,-0.018,2000
SVK,2018,119.83,492.98,465.83,470.47,-0.1277,2000
SVK,2022,121.8,471.94,453.24,469.8,-0.1826,2000
SVN,2009,97.14,487.55,465.01,495.08,-0.0019,2000
SVN,2012,80.91,485.3,463.45,495.02,-0.0021,2000
SVN,2015,71.5,499.92,490.54,499.56,-0.0271,2000
SVN,2018,87.69,501.52,486.2,498.54,0.0127,2000
SVN,2022,97.03,477.03,463.24,494.38,0.1962,2000
SWE,2009,103.49,502.92,506.98,503.13,0.4161,2000
SWE,2012,84.21,484.75,493.24,491.45,0.3623,2000
SWE,2015,85.87,494.62,501.95,495.49,0.3331,2000
SWE,2018,77.23,504.15,505.83,498.93,0.363,2000
SWE,2022,99.33,484.77,492.45,499.1,0.3473,2000
TAP,2009,85.49,531.97,488.25,510.2,-0.3513,2000
TAP,2012,125.19,540.15,509.31,509.93,-0.4737,2000
TAP,2015,88.21,525.79,483.29,514.98,-0.2806,2000
TAP,2018,91.31,515.41,486.4,498.76,-0.3462,2000
TAP,2022,115.93,518.4,492.17,511.14,-0.3256,2000
THA,2009,87.98,420.57,424.19,424.19,-1.1579,2000
THA,2012,84.66,425.56,438.14,441.18,-1.171,2000
THA,2015,89.92,416.38,410.29,421.51,-0.9789,2000
THA,2018,118.44,425.89,400.14,431.76,-1.0452,2000
THA,2022,106.04,405.37,387.97,418.8,-0.9162,2000
TTO,2009,99.57,408.21,409.54,403.77,-0.5201,2000
TTO,2015,78.69,419.12,431.72,428.77,-0.2151,2000
TUN,2009,62.11,364.24,395.64,395.05,-1.1741,2000
TUN,2012,65.71,385.88,403.09,398.69,-1.1848,2000
TUN,2015,74.6,368.44,361.57,387.9,-0.808,2000
TUR,2009,114.89,451.46,470.44,459.62,-1.1264,2000
TUR,2012,91.96,448.25,475.63,463.03,-1.4145,2000
TUR,2015,61.33,417.29,425.4,422.53,-1.3174,2000
TUR,2018,85.16,449.58,461.11,462.91,-1.0403,2000
TUR,2022,80.54,446.49,449.23,468.75,-1.1193,2000
UKR,2018,88.14,456.42,469.43,471.1,-0.1602,2000
URY,2009,112.66,436.55,434.65,436.5,-0.551,2000
URY,2012,113.66,427.23,429.95,434.09,-0.6387,2000
URY,2015,97.82,433.99,453.69,450.41,-0.5361,2000
URY,2018,89.18,424.95,434.09,433.12,-0.8084,2000
URY,2022,90.75,420.55,441.92,447.95,-0.6012,2000
USA,2009,97.2,495.5,509.24,510.59,0.2777,2000
USA,2012,78.49,479.86,499.71,497.05,0.2394,2000
USA,2015,78.91,473.14,502.21,499.74,0.2074,2000
USA,2018,92.86,471.85,499.26,496.89,0.0813,2000
USA,2022,91.5,460.9,500.43,494.69,0.037,2000
UZB,2022,31.82,366.55,338.51,356.7,-0.6552,2000
VNM,2012,57.86,506.42,504.91,524.83,-1.749,2000
