CNT,SCHOOLID,SCHTYPE,SCHSIZE,STRATIO,COUNTRY_AVG_GAP,TRAJECTORY,EQUITY_RISK_SCORE
ALB,800001.0,3.0,652.0,,52.4,Closing,16.7
ALB,800002.0,3.0,183.0,,52.4,Closing,15.5
ALB,800003.0,1.0,121.0,,52.4,Closing,26.8
ALB,800004.0,3.0,1074.0,,52.4,Closing,14.8
ALB,800005.0,3.0,317.0,,52.4,Closing,9.5
ALB,800006.0,3.0,577.0,,52.4,Closing,10.7
ALB,800007.0,3.0,282.0,,52.4,Closing,15.5
ALB,800008.0,3.0,380.0,,52.4,Closing,10.1
ALB,800009.0,3.0,377.0,,52.4,Closing,10.7
ALB,800010.0,3.0,229.0,,52.4,Closing,19.8
ALB,800011.0,3.0,88.0,,52.4,Closing,10.1
ALB,800012.0,3.0,267.0,,52.4,Closing,22.9
ALB,800013.0,3.0,378.0,,52.4,Closing,10.1
ALB,800014.0,3.0,456.0,,52.4,Closing,28.2
ALB,800015.0,3.0,205.0,,52.4,Closing,9.5
ALB,800016.0,3.0,99999999.0,,52.4,Closing,12.6
ALB,800017.0,3.0,275.0,,52.4,Closing,12.6
ALB,800018.0,3.0,94.0,,52.4,Closing,17.9
ALB,800019.0,3.0,555.0,,52.4,Closing,21.6
ALB,800020.0,3.0,1086.0,,52.4,Closing,26.3
ALB,800021.0,3.0,233.0,,52.4,Closing,34.2
ALB,800022.0,3.0,871.0,,52.4,Closing,20.2
ALB,800023.0,1.0,511.0,,52.4,Closing,20.4
ALB,800024.0,3.0,309.0,,52.4,Closing,10.7
ALB,800025.0,3.0,256.0,,52.4,Closing,20.4
ALB,800026.0,3.0,108.0,,52.4,Closing,21.6
ALB,800027.0,3.0,900.0,,52.4,Closing,25.7
ALB,800028.0,3.0,585.0,,52.4,Closing,11.4
ALB,800029.0,3.0,675.0,,52.4,Closing,25.1
ALB,800031.0,3.0,498.0,,52.4,Closing,38.3
ALB,800032.0,3.0,185.0,,52.4,Closing,22.2
ALB,800033.0,3.0,230.0,,52.4,Closing,13.2
ALB,800034.0,3.0,368.0,,52.4,Closing,9.5
ALB,800035.0,3.0,122.0,,52.4,Closing,9.5
ALB,800036.0,1.0,92.0,,52.4,Closing,19.8
ALB,800038.0,3.0,342.0,,52.4,Closing,13.2
ALB,800039.0,3.0,203.0,,52.4,Closing,12.0
ALB,800040.0,3.0,830.0,,52.4,Closing,27.6
ALB,800041.0,3.0,65.0,,52.4,Closing,9.5
ALB,800042.0,1.0,99999999.0,,52.4,Closing,9.5
ALB,800043.0,3.0,,,52.4,Closing,28.8
ALB,800044.0,3.0,116.0,,52.4,Closing,21.0
