feature,mean_abs_shap,mean_shap,is_policy,direction,label,eef_equivalent,is_artefact
MEAN_ESCS,3.4946194,-0.0671957,False,reduces_slope,Cluster average socioeconomic status (artefact),,True
N_STUDENTS,1.2742789,0.05580965,False,increases_slope,Number of students in cluster (artefact),,True
LOG_GDP_PC,0.9614568,0.07571484,False,increases_slope,Country GDP per capita — log (country-level),,True
SC202Q10JA,0.80181646,-0.023891272,False,reduces_slope,School offers extracurricular academic support activities,Extending school time,False
N_SCHOOLS,0.69278955,0.026280606,False,increases_slope,Number of schools in cluster (artefact),,True
SC012Q05TA,0.6888664,-0.005137019,True,reduces_slope,Teachers use assessments to monitor student learning,Feedback,False
SC172Q04JA,0.67369443,0.018356672,False,increases_slope,School uses ability grouping between classes,,False
SCHAUTO,0.66432184,0.012394876,False,increases_slope,School has high autonomy over curriculum decisions,,False
SC212Q01JA,0.5932905,-0.011211836,False,reduces_slope,Principal provides instructional leadership,,False
SC017Q09JA,0.59328777,-0.044286452,False,reduces_slope,School has clear and high academic expectations,Behaviour interventions,False
SC012Q02TA,0.5570148,-0.022752732,True,reduces_slope,Teachers regularly give feedback to students,Feedback,False
SC012Q08JA,0.55699337,-0.007840679,False,reduces_slope,Teachers adapt instruction to individual student needs,Individualised instruction,False
SC213Q01JA,0.5160127,0.033433925,False,increases_slope,School selects students by prior academic achievement,,False
SC188Q03JA,0.5059258,0.021348663,False,increases_slope,School has strong competitive academic culture,,False
SC172Q07JA,0.502039,-0.0016056073,False,reduces_slope,School offers additional support for struggling students,Small group tuition,False
SC172Q05JA,0.48247498,-0.036201492,False,reduces_slope,School uses mixed-ability grouping within classes,Collaborative learning,False
SC190Q02JA,0.4456808,-0.012879346,False,reduces_slope,School uses student data to improve teaching practices,Metacognition & self-regulation,False
SC180Q01JA,0.43351468,-0.007813464,False,reduces_slope,School involves parents in educational decisions,Parental engagement,False
SC190Q07JA,0.4138108,0.003791256,False,increases_slope,School tracks student progress over time,,False
SD_ESCS,0.38047433,-0.019749327,False,reduces_slope,Spread of socioeconomic status in cluster,,True
SC202Q04JA,0.37977636,0.044881627,False,increases_slope,School offers enrichment activities for high achievers,,False
SC017Q10JA,0.37355635,-0.01795024,False,reduces_slope,School promotes student self-regulation and autonomy,Metacognition & self-regulation,False
SC004Q05NA,0.37034455,-0.0009427238,False,reduces_slope,Principal monitors teacher instructional practices,,False
SC213Q02JA,0.35795292,-0.008620366,False,reduces_slope,School accepts students with special educational needs,,False
SC053Q01TA,0.3429914,0.010106518,False,increases_slope,School has sufficient qualified teaching staff,,False
SC208Q07JA,0.33557782,0.008369633,False,increases_slope,Teachers collaborate on curriculum and lesson planning,,False
SC188Q05JA,0.32224643,-0.0046318285,False,reduces_slope,School emphasises student wellbeing alongside academics,,False
SC202Q09JA,0.29000303,-0.0062073283,False,reduces_slope,School offers after-school tutoring programmes,One to one tuition,False
SC053Q06NA,0.27947643,0.026301777,False,increases_slope,School has adequate learning materials and resources,,False
SC017Q05NA,0.25141078,0.023371056,False,increases_slope,School has clear disciplinary policies,,False
SC172Q03JA,0.24177894,0.008679019,False,increases_slope,School groups students by learning pace,,False
SC192Q01JA,0.20135048,-0.013567096,False,reduces_slope,School shares assessment results with parents regularly,Parental engagement,False
SC201Q11JA,0.16215898,0.0037754637,False,increases_slope,School has clear student assessment policy,,False
SC172Q02JA,0.1311361,0.0028419716,False,increases_slope,School uses within-class ability grouping,,False
SC016Q03TA,0.12739563,-0.0030335153,False,reduces_slope,Teachers receive regular professional development,Teaching assistant interventions,False
EDU_PCT,0.054585334,-0.0017722967,False,reduces_slope,Country education expenditure as % of GDP,,True
GINI,0.047111426,-0.007229832,False,reduces_slope,Country Gini inequality coefficient,,True
