feature,mean_abs_shap,mean_shap,is_policy,direction
MEAN_ESCS,3.3952954,-0.12919243,False,reduces_slope
N_STUDENTS,1.1139148,0.04125292,False,increases_slope
LOG_GDP_PC,0.7335636,0.030469174,False,increases_slope
SC202Q10JA,0.67664677,-0.027620012,False,reduces_slope
N_SCHOOLS,0.653399,0.036154203,False,increases_slope
SC213Q01JA,0.5091996,0.011109296,False,increases_slope
SC172Q05JA,0.4604161,-0.027098285,False,reduces_slope
SC172Q04JA,0.43306193,0.0017824696,False,increases_slope
SC012Q08JA,0.42825317,-0.005898532,False,reduces_slope
SC012Q05TA,0.41637635,0.0053956546,True,increases_slope
SC212Q01JA,0.392831,0.0005130486,False,increases_slope
SC017Q09JA,0.37400678,-0.004946505,False,reduces_slope
SC172Q07JA,0.3417086,-0.0062299287,False,reduces_slope
SC213Q02JA,0.3401847,-0.0050086756,False,reduces_slope
SC188Q03JA,0.33346078,0.008454918,False,increases_slope
SCHAUTO,0.3329966,0.0046489793,False,increases_slope
SC017Q10JA,0.31772166,-0.018883716,False,reduces_slope
SC190Q02JA,0.3038412,-0.0057940288,False,reduces_slope
SC012Q02TA,0.28605416,-0.0087169465,True,reduces_slope
SC188Q05JA,0.27693754,-0.008854168,False,reduces_slope
SC190Q07JA,0.27262545,-0.0014879197,False,reduces_slope
SC208Q07JA,0.2504343,-0.0048287855,False,reduces_slope
SC172Q03JA,0.23839766,-0.000737989,False,reduces_slope
SC202Q04JA,0.20246114,0.033360552,False,increases_slope
SC202Q09JA,0.18960866,-0.013269875,False,reduces_slope
SC053Q06NA,0.17224295,0.0002389543,False,increases_slope
SC017Q05NA,0.17134908,0.00553421,False,increases_slope
SC180Q01JA,0.17085913,-0.0010609323,False,reduces_slope
SC201Q11JA,0.16918221,0.007700584,False,increases_slope
SC004Q05NA,0.16582844,0.0026352478,False,increases_slope
SC192Q01JA,0.16489111,-0.005328736,False,reduces_slope
SC053Q01TA,0.16262846,-0.001863121,False,reduces_slope
SC172Q02JA,0.15099123,-0.0021182,False,reduces_slope
SC016Q03TA,0.14661787,-0.0078941705,False,reduces_slope
SC184Q04JA,0.13936587,-8.867345e-05,False,reduces_slope
SC202Q01JA,0.13876338,0.027677048,False,increases_slope
SC185Q04WA,0.1379202,0.025063952,False,increases_slope
SC027Q03NA,0.1356631,0.0014669371,False,increases_slope
SD_ESCS,0.13164231,-0.0074655414,False,reduces_slope
SC181Q03JA,0.13122548,-0.00064481655,False,reduces_slope
SC212Q02JA,0.12852366,-0.0020920103,False,reduces_slope
SCHLTYPE,0.12783341,0.02177745,True,increases_slope
SC004Q07NA,0.11839633,-0.016854962,False,reduces_slope
SC190Q01JA,0.11485256,0.0027371128,False,increases_slope
SC185Q01WA,0.11289041,0.01294512,False,increases_slope
SC037Q05NA,0.107594036,-0.004104323,False,reduces_slope
SC171Q03JA,0.10073087,0.004552302,False,increases_slope
SC001Q01TA,0.09937575,-0.0005422055,False,reduces_slope
SC168Q04JA,0.09703519,0.0008575734,False,increases_slope
SC032Q02TA,0.09650671,-0.0024870234,False,reduces_slope
SC182Q01WA01,0.09437814,-0.0086412495,False,reduces_slope
SC035Q03TA,0.08739427,-9.181462e-05,False,reduces_slope
SC014Q01TA,0.08423896,0.0035095986,False,increases_slope
SC193Q02WA,0.08271026,0.0035166047,False,increases_slope
SC201Q06JA,0.08093792,-0.0060903695,False,reduces_slope
SC208Q04JA,0.07952807,-0.00083469274,False,reduces_slope
SCHSEL,0.079405375,0.004288337,False,increases_slope
SC174Q01JA,0.0784217,0.002938336,False,increases_slope
SC198Q01JA,0.0778586,-0.002360927,False,reduces_slope
SC187Q04WA,0.076378785,0.005461644,False,increases_slope
SC192Q02JA,0.07570467,0.0033007863,False,increases_slope
SC175Q02JA,0.07205688,0.0003620478,False,increases_slope
SC223Q02JA,0.06934988,0.0019686588,False,increases_slope
SC012Q10JA,0.06930853,0.0062547834,False,increases_slope
SC012Q06TA,0.06555437,-0.0021203822,True,reduces_slope
SC202Q02JA,0.06322193,0.0029473768,False,increases_slope
SC035Q08TA,0.06109881,0.004349852,False,increases_slope
SC004Q01TA,0.059604168,0.0011975211,True,increases_slope
SC202Q11JA,0.059402525,0.0053634355,False,increases_slope
SC172Q06JA,0.056148183,0.001809061,False,increases_slope
SC217Q02JA,0.055839118,0.006700298,False,increases_slope
SC017Q07NA,0.05533795,0.0039580306,False,increases_slope
SC037Q07TA,0.055310734,0.004149541,False,increases_slope
SC035Q03TB,0.053754456,0.0010813965,False,increases_slope
SC202Q03JA,0.05339711,0.0013698959,False,increases_slope
SC034Q02NA,0.052937992,0.0061109774,False,increases_slope
SC189Q05JA,0.05258147,0.0023607877,False,increases_slope
SC018Q01TA01,0.05252432,0.0020666185,False,increases_slope
SC004Q06NA,0.052432753,-0.0027802913,False,reduces_slope
SC193Q03WA,0.05203452,-0.0035505516,False,reduces_slope
SC211Q05JA,0.05124344,-0.00048997346,False,reduces_slope
SC204Q05JA,0.05028233,0.0017899016,False,increases_slope
SC064Q03TA,0.049277667,0.0035780712,False,increases_slope
SC034Q03TA,0.04894211,0.0015539537,False,increases_slope
SC202Q05JA,0.048411217,0.0025494716,False,increases_slope
SC064Q07WA,0.048380718,0.002765434,False,increases_slope
SC221Q04JA,0.046225235,0.0010888089,False,increases_slope
SC017Q06NA,0.046017423,0.01826122,False,increases_slope
SC201Q04JA,0.044738803,0.0015649808,False,increases_slope
SC035Q06TB,0.044208888,0.0019052748,False,increases_slope
SC061Q01TA,0.043836314,-0.0007001102,False,reduces_slope
SC171Q04JA,0.043596603,0.0022414043,False,increases_slope
SC171Q02JA,0.042847645,-0.0035960423,False,reduces_slope
SC035Q04TB,0.042456362,0.0021755602,False,increases_slope
SC053Q03TA,0.04214429,0.00018076172,False,increases_slope
SC187Q03WA,0.041781515,0.0016704744,False,increases_slope
GINI,0.041767698,-0.0007237551,False,reduces_slope
SC017Q08NA,0.041291993,0.005773237,False,increases_slope
SC183Q04JA,0.040273782,-0.00082668936,False,reduces_slope
SC176Q01JA,0.039986804,-0.0008462562,False,reduces_slope
SC202Q12JA,0.03912731,-0.0021232285,False,reduces_slope
SC184Q03JA,0.038556993,0.0005686186,False,increases_slope
SC037Q04TA,0.03851832,0.0027989987,False,increases_slope
SC207Q01JA,0.03848734,-0.0013044077,False,reduces_slope
SC207Q07JA,0.037914395,0.0023476824,False,increases_slope
SC064Q02TA,0.037269972,-0.0006538358,False,reduces_slope
SC013Q01TA,0.0367308,0.0029171442,False,increases_slope
SC061Q07TA,0.036729347,0.0014910075,False,increases_slope
SC223Q04JA,0.035480663,0.00097526424,False,increases_slope
SC193Q04WA,0.035315666,0.0007739181,False,increases_slope
SC032Q03TA,0.035296552,0.0033444958,False,increases_slope
SC012Q04TA,0.035194423,0.00070848793,True,increases_slope
SC211Q04JA,0.034977287,0.00039174355,False,increases_slope
SC222Q03JA,0.034535464,0.0006755584,False,increases_slope
SC034Q04TA,0.034499984,-0.0006207668,False,reduces_slope
SC032Q01TA,0.03419709,0.0006595985,False,increases_slope
SC018Q10JA01,0.0341075,2.0028794e-05,False,increases_slope
SC201Q03JA,0.033678006,-0.0016318747,False,reduces_slope
SC053Q02TA,0.033463053,0.0013697871,False,increases_slope
SC224Q01JA,0.033378962,-0.002027418,False,reduces_slope
SC177Q01JA,0.03312604,0.001218669,False,increases_slope
SC200Q01JA,0.03304383,-0.000968057,False,reduces_slope
SC012Q01TA,0.032353822,0.00738024,True,increases_slope
SC223Q01JA,0.031998336,-0.003480388,False,reduces_slope
SC188Q11JA,0.03187801,-0.0013627314,False,reduces_slope
SC215Q04JA,0.03166375,0.0057077534,False,increases_slope
SC216Q05JA,0.031299707,-2.6121257e-05,False,reduces_slope
SC168Q02JA,0.031010022,0.0021143167,False,increases_slope
SC207Q03JA,0.030702025,0.0019854237,False,increases_slope
SC208Q06JA,0.030695805,-0.0011172019,False,reduces_slope
SC223Q06JA,0.0305499,0.0002130394,False,increases_slope
SC192Q03JA,0.030086035,0.0051454874,False,increases_slope
SC011Q01TA,0.029733656,0.0036553366,False,increases_slope
SC016Q02TA,0.028963625,0.0022408518,False,increases_slope
SC012Q12JA,0.028661218,0.0011160036,False,increases_slope
SC221Q01JA,0.028070249,0.00039490376,False,increases_slope
SC183Q03JA,0.027976558,0.0049635516,False,increases_slope
SC190Q11JA,0.027650625,0.0037002547,False,increases_slope
SC035Q09NB,0.027296795,-0.00065060874,False,reduces_slope
SC064Q06WA,0.027276002,-0.0023803208,False,reduces_slope
SC181Q01JA,0.027175466,-0.0010862771,False,reduces_slope
SC189Q01JA,0.027101496,-0.00036509073,False,reduces_slope
SC189Q06JA,0.026980871,-0.0032371285,False,reduces_slope
SC002Q02TA,0.02682024,0.0013312125,True,increases_slope
SC035Q10TB,0.026367303,0.0017135428,False,increases_slope
SC211Q06JA,0.025971685,0.0015324459,False,increases_slope
SC003Q01TA,0.025894348,0.0021669213,False,increases_slope
EDU_PCT,0.025373226,8.775618e-05,False,increases_slope
SC201Q01JA,0.025338493,-0.0005194482,False,reduces_slope
SC181Q02JA,0.025249101,-0.0024895803,False,reduces_slope
SC195Q03JA,0.024290428,-0.0013617815,False,reduces_slope
SC155Q07HA,0.024033532,0.0028599547,False,increases_slope
SC177Q03JA,0.023984917,0.0033242758,False,increases_slope
SC208Q08JA,0.02356752,0.0038007519,False,increases_slope
SC032Q04TA,0.023492323,0.0012464274,False,increases_slope
SC173Q04JA,0.023180192,-0.00020598945,False,reduces_slope
SC017Q02NA,0.023159528,0.0002590012,False,increases_slope
SC207Q04JA,0.022992972,0.0019188619,False,increases_slope
SC061Q03TA,0.022983521,0.00024589477,False,increases_slope
SC215Q03JA,0.022959964,0.0060544484,False,increases_slope
SC195Q02JA,0.022693597,-0.0010414461,False,reduces_slope
SC170Q01JA,0.022672167,0.0014145938,False,increases_slope
SC189Q03WA,0.022640653,-0.003362642,False,reduces_slope
SC216Q02JA,0.022505464,-0.0029795426,False,reduces_slope
SC169Q01JA,0.022491949,4.531098e-05,False,increases_slope
SC035Q07TB,0.022011988,0.0016288019,False,increases_slope
SC185Q02WA,0.021832181,-0.0008168578,False,reduces_slope
SC182Q07JA01,0.021696046,-0.00046793095,False,reduces_slope
SC155Q08HA,0.021687033,-0.004631807,False,reduces_slope
SC184Q06JA,0.02132178,-0.00053359626,False,reduces_slope
SC177Q02JA,0.021265738,-0.0036825293,False,reduces_slope
SC208Q09JA,0.021095071,-0.000835426,False,reduces_slope
