CNT,GAP_2009,GAP_2022,CHANGE,TRAJECTORY,TRAJ_SCORE
ALB,66.99,52.4,-14.6,Closing,-10
ARE,79.1,55.2,-23.9,Closing,-10
ARG,104.07,85.02,-19.0,Closing,-10
AUS,84.87,92.06,7.2,Stable,0
AUT,67.12,97.64,30.5,Widening,10
BEL,99.73,112.67,12.9,Widening,10
BGR,135.56,122.46,-13.1,Closing,-10
BRA,76.19,88.61,12.4,Widening,10
CAN,67.0,76.56,9.6,Stable,0
CHE,87.06,116.64,29.6,Widening,10
CHL,91.36,80.76,-10.6,Closing,-10
COL,91.81,78.51,-13.3,Closing,-10
CZE,115.3,133.94,18.6,Widening,10
DEU,117.32,98.68,-18.6,Closing,-10
DNK,86.34,77.14,-9.2,Stable,0
ESP,81.88,73.09,-8.8,Stable,0
EST,60.54,74.58,14.0,Widening,10
FIN,53.12,95.35,42.2,Widening,10
FRA,117.58,125.1,7.5,Stable,0
GBR,87.36,94.72,7.4,Stable,0
GEO,83.31,68.81,-14.5,Closing,-10
GRC,94.38,85.45,-8.9,Stable,0
HKG,63.95,68.71,4.8,Stable,0
HRV,73.7,70.97,-2.7,Stable,0
HUN,106.28,112.82,6.5,Stable,0
IDN,49.32,43.74,-5.6,Stable,0
IRL,76.47,80.37,3.9,Stable,0
ISL,61.21,71.93,10.7,Widening,10
ISR,107.61,123.76,16.2,Widening,10
ITA,53.55,81.96,28.4,Widening,10
JOR,68.95,46.45,-22.5,Closing,-10
JPN,80.85,85.17,4.3,Stable,0
KAZ,70.64,71.62,1.0,Stable,0
KOR,74.33,107.52,33.2,Widening,10
LTU,88.79,106.9,18.1,Widening,10
LVA,71.46,71.04,-0.4,Stable,0
MAC,31.5,50.55,19.0,Widening,10
MDA,87.51,86.53,-1.0,Stable,0
MEX,78.36,66.65,-11.7,Closing,-10
MLT,67.57,69.74,2.2,Stable,0
MNE,73.28,68.21,-5.1,Stable,0
MYS,69.15,94.62,25.5,Widening,10
NLD,80.78,96.66,15.9,Widening,10
NOR,70.96,81.49,10.5,Widening,10
NZL,107.64,97.05,-10.6,Closing,-10
PAN,95.99,72.15,-23.8,Closing,-10
PER,123.7,90.51,-33.2,Closing,-10
POL,105.76,93.93,-11.8,Closing,-10
PRT,106.36,110.4,4.0,Stable,0
QAT,61.59,58.78,-2.8,Stable,0
ROU,73.69,121.0,47.3,Widening,10
SGP,99.18,102.1,2.9,Stable,0
SRB,73.54,68.4,-5.1,Stable,0
SVK,99.42,121.8,22.4,Widening,10
SVN,97.14,97.03,-0.1,Stable,0
SWE,103.49,99.33,-4.2,Stable,0
TAP,85.49,115.93,30.4,Widening,10
THA,87.98,106.04,18.1,Widening,10
TUR,114.89,80.54,-34.3,Closing,-10
URY,112.66,90.75,-21.9,Closing,-10
USA,97.2,91.5,-5.7,Stable,0
