CNT,YEAR,gap_recomputed,avg_math_recomputed,avg_read_recomputed,avg_science_recomputed,avg_escs_recomputed,n_students_recomputed,q25_escs,q75_escs
ALB,2009,68.37285413683304,384.9079117250277,395.0255347062353,399.6589276321064,72.10644732039253,1819,-1.5522798005701035,-0.034699716086855
ALB,2018,41.457118358643356,441.2257460278516,411.93174815146625,423.21667337847623,-0.7589771393975053,1859,-1.4940546956228407,-0.08791755424764115
ALB,2022,54.73305513278626,375.50680644503177,364.1058438893026,381.14901787962134,-0.631629514104814,1817,-1.443633732217695,0.21833943751209203
ARE,2009,79.24223298912028,426.231527596684,436.9512125345176,443.05137430695663,188.43784954386624,1998,-0.26037219532484435,0.8117
ARE,2012,58.06570925330635,435.1888431049184,442.68816384646635,447.79537810494793,124.10303704437567,1926,-0.11,0.92
ARE,2015,40.41470113647739,420.88041096217745,426.93268035861314,430.17201992183124,0.5133097425889189,1925,0.10435511863620475,1.009207650138749
ARE,2018,87.24450454533468,434.19728449034216,430.8807055134537,432.53592329040197,0.2881578995413884,1938,-0.249037479097205,0.8657597192028983
ARE,2022,52.500880930358846,419.97190020831204,398.19429417454364,419.7076994957746,0.303471629660288,1957,-0.08992789104285293,0.8027129448764068
ARG,2009,97.15585659473118,396.55309554406955,409.55780514888045,411.3999473265839,172.1354277157535,1816,-1.3474704037431062,0.3522765575403495
ARG,2012,59.11849210470098,401.73293884995974,413.83780284256005,420.4356877659942,166.92684766379526,1877,-1.34,0.37
ARG,2018,90.52330453422775,391.79094210359074,415.88970845948216,417.11021785399174,-0.8840103273582536,1936,-1.717036140463662,-0.01437056108081614
ARG,2022,75.50244024714709,390.31849171560293,413.65453856367805,420.5224690978277,-0.7067405660344789,1924,-1.4782794050511077,0.1279303057503461
AUS,2009,70.04679081593986,527.0743920369551,528.0227742442715,540.764292036811,158.69510266898143,1974,-0.11736271884026077,0.9703922123367672
AUS,2012,65.29842250206582,513.2257273272427,522.9632753944057,532.0735893506552,156.41912633399892,1949,-0.31,0.88
AUS,2015,78.48826857817807,499.8795570177592,511.73717867019093,516.7466573426642,0.28161305060502284,1941,-0.3140140865807853,0.8762144270145537
AUS,2018,61.871127122454595,496.89831750238886,509.39879528004246,508.60491636415395,0.36168086832562557,1943,-0.299122696544844,1.0438467933489541
AUS,2022,90.85359582038666,494.055815924861,505.8514795180139,514.6000988393098,0.38800193914863,1951,-0.17609652313184987,1.0277118052941174
AUT,2009,76.87000807771773,498.20724972351076,474.7694880230643,496.73021220583615,276.0563971851577,1860,-0.4411,0.722279444174737
AUT,2012,88.5017573625131,512.4045146603416,494.820437966475,511.75856551857953,102.08481584863586,1783,-0.43,0.83
AUT,2015,93.94635973447589,492.36236053152464,481.242087829897,489.51570764366187,0.10273645947208795,1855,-0.5091551100770476,0.7682
AUT,2018,80.24405753784634,500.06013842050265,487.90694948400755,493.84298959672554,0.05726769178348786,1842,-0.5386765088400107,0.7128643937190764
AUT,2022,105.0442600371573,487.4382034000152,480.5616580963557,491.53586915026665,0.07518293157794803,2000,-0.5758186355368933,0.8062873761019583
AZE,2009,12.434349190832108,431.310191988016,365.76677021088153,377.94421535940893,134.40419261121951,1799,-1.3434184768858743,0.188410226868052
BEL,2009,97.09515445753016,515.9815753347476,507.8977981769092,508.97817062335525,146.2163737430039,1924,-0.4392,0.9701059421317353
BEL,2012,109.65866161816786,518.0282977818176,511.087373431143,506.9277387405906,215.8619664244313,1902,-0.5,0.99
BEL,2015,101.32680433414959,496.161333708452,489.80849716917874,492.0863677324895,0.12699130903743958,1918,-0.5419173429309716,0.8940409133022655
BEL,2018,113.07346747922463,508.9392844087436,494.03212320728534,499.4887970702906,0.06472474072564896,2000,-0.6172083965827612,0.8248863860453646
BEL,2022,119.87619525804917,490.3020178760754,486.5783258773935,494.4488830812138,0.12404131565568258,1885,-0.5298969392951496,0.8653489319109013
BGR,2009,124.89787856768385,431.5524363562617,431.04867785119126,440.91934016985084,204.3020425019065,1769,-0.7458805554026079,0.7231
