CNT,latest_year,latest_gap,latest_avg_math,latest_avg_read,latest_avg_science,avg_escs_recomputed,n_students_recomputed,q25_escs,q75_escs,n_timepoints,latest_gap_rank
ROU,2022,128.87221841528077,427.80410174654446,428.40051283622483,427.09667478998665,-0.34863088342047677,1885,-1.093226278283777,0.5443167591348993,5,1
SVK,2022,126.1540799663614,465.0875985263927,447.6717709441399,462.84945488988916,-0.23366006627021196,1808,-0.9645932483699687,0.5546038127085534,5,2
ISR,2022,125.6612715778395,461.69438440401103,476.809477173002,467.73070343824776,0.29139166860233384,2000,-0.30803683956535927,0.9762,5,3
CZE,2022,123.88227514904565,486.8520490180768,490.7544731214516,498.37391740273034,-0.058498093902721794,1891,-0.7434259567174064,0.6482038987649319,5,4
TAP,2022,121.3286699423731,528.7057187120915,500.1681480241065,518.7354984577323,-0.25845689882764156,1928,-0.9263410892469509,0.44155400530793026,5,5
BEL,2022,119.87619525804917,490.3020178760754,486.5783258773935,494.4488830812138,0.12404131565568258,1885,-0.5298969392951496,0.8653489319109013,5,6
BGR,2022,119.38058725748539,422.3666286227195,409.2494936590155,426.40671909430495,-0.2405003253125744,1840,-1.0011155825966571,0.6006842020009852,5,7
LUX,2018,118.43763106271462,482.1622989893733,470.6539306443449,477.1858400010556,0.08165879393670301,1808,-0.7541259415338287,1.0062264104362098,4,8
HUN,2022,118.22467737674225,475.66354685765816,475.85040353915895,489.0439172607304,-0.018853634707731326,1817,-0.7331482105227928,0.7777288567230259,5,9
PRT,2022,115.59609178053142,471.6931584936322,474.0404300050065,482.5134791350448,-0.2228077567396428,1880,-1.1168551531850157,0.7665058542515156,5,10
CHE,2022,114.24714653649141,507.03469758668774,483.27416566446067,501.5904152371739,0.20160457833155826,1853,-0.41791449879609954,0.9337260169059577,5,11
FRA,2022,111.83522333428891,480.5958294035037,479.8947873203821,494.8819080691126,0.04048546656451134,1861,-0.5424580722548608,0.7145238126012453,5,12
LTU,2022,109.02520811085122,484.087084891712,479.72078974298637,492.7341343076873,0.15432606970150287,1852,-0.5275428118303411,0.8781352471505876,5,13
KOR,2022,107.62907948361038,536.6512368602822,519.1161604393362,536.1849565695392,0.29458834905298686,1910,-0.2814051716417174,0.9194357580457371,5,14
QAR,2015,105.57004650279714,459.67869489748466,479.8683560935685,479.0313590315492,0.0960280891117343,1404,-0.6744948291822813,1.0095582157729233,1,15
QVE,2009,105.4079336898264,389.6700000266179,412.9285123960756,413.55446408422915,489.78915343400854,1667,-0.9357773186288825,0.7976,1,16
AUT,2022,105.0442600371573,487.4382034000152,480.5616580963557,491.53586915026665,0.07518293157794803,2000,-0.5758186355368933,0.8062873761019583,5,17
BLR,2018,103.03594655801174,473.8626364780669,476.3735830163224,472.93879235938755,-0.11891043275238888,1815,-0.7191426487895695,0.527490719453974,1,18
MYS,2022,102.86528443331878,417.2336881722609,390.50519117611503,420.62102780388267,-0.5487850840425152,1861,-1.3683792655489386,0.3384,4,19
SWE,2022,101.76042465780358,483.99500235785155,492.11528925462545,498.59988780703935,0.34481743616544475,1825,-0.22761966944908593,1.001127945399153,5,20
QCH,2015,100.7607499745863,530.9356261283825,493.10068002935316,517.4740600220201,-1.0634945462807102,1902,-1.8366081675454764,-0.35493819358273965,1,21
NLD,2022,99.42344181037498,492.9475008798181,458.89201630794923,488.67033164555795,0.26969842719300136,1798,-0.2674739657265909,0.9503352032316527,5,22
SVN,2022,99.22389668950348,489.59811629051364,474.72326047219553,505.6617020846868,0.2693848937637571,1854,-0.3746339827368417,0.9794093253631726,5,23
DEU,2022,98.77966190141501,480.3343448731241,485.78039541550754,498.0334326363467,-0.1492256116977195,1832,-0.8292919519252205,0.6326021466937256,5,24
NZL,2022,97.78133214033124,490.5652942141494,509.9331706438263,514.8030667281055,0.30549317807145665,1786,-0.2728326334965238,1.0001783888252704,5,25
SGP,2022,96.94205908024492,581.4959687105312,548.705348770237,567.9798716273081,0.46961741608979374,1888,0.0037587125811538733,1.055822365916144,5,26
POL,2022,96.44752567908574,490.9636480167501,490.6998342227362,500.56023440101984,-0.07500551071483393,1830,-0.8599643101190315,0.7058737492177306,5,27
QCN,2012,96.10871415030283,619.806217319961,574.745322003789,584.3473308577268,37.53160431087016,1852,-0.9885062552609956,0.55,2,28
GBR,2022,95.1965252955618,503.68577979504454,511.6813405966573,516.4309406226705,0.16098137658353037,1921,-0.4812960688293165,0.8449617797485438,5,29
USA,2022,95.11517393804337,463.4244071103353,503.1938383791861,497.15974094308393,0.05998854925489816,1752,-0.6238159267609381,0.8268754657031546,5,30
MNG,2022,94.81401206502625,426.6768685947364,378.77645809047004,413.2229160752916,-0.6525443184345014,1868,-1.4032125556756745,0.18778541621770614,1,31
MUS,2009,92.22264939423678,418.1841342362341,405.3755816008426,413.0443275938884,21.47458885592614,1822,-1.2013073893177888,0.0843,1,32
URY,2022,91.95835205539947,420.687680378247,442.61275136289987,448.04981450720334,-0.6233487004610911,1876,-1.4136005750617617,0.2348170450122311,5,33
AUS,2022,90.85359582038666,494.055815924861,505.8514795180139,514.6000988393098,0.38800193914863,1951,-0.17609652313184987,1.0277118052941174,5,34
MDA,2022,90.76844847580304,421.0213015408751,416.8457383225999,424.63133039134465,-0.4295397115539534,1840,-1.1578497550616735,0.40979017374491056,4,35
UKR,2018,89.65741427638585,454.46830018278916,467.84224128916406,469.6139214125881,-0.16943127921166679,1838,-0.7570430650707425,0.4658885650375543,1,36
KGZ,2009,88.57916715581166,337.92807186969816,321.9654691343302,336.43069545400925,82.55535492887778,1804,-1.2769256848173343,0.2222,1,37
QUR,2022,88.5340951860735,441.2302735915984,428.0387343274694,452.03967977310174,-0.33196760079421017,1749,-0.9816275369355335,0.34597335323173417,1,38
