CNT,first_year,last_year,first_gap,last_gap,n_timepoints,gap_volatility,annual_change,long_run_change,trend_evidence,trend_label,trend_rank
ROU,2009,2022,71.38018554778057,128.87221841528077,5,23.51413430591764,4.207330025644779,57.4920328675002,strong,Worsening,1
ITA,2009,2022,40.2617864142473,85.29386233681345,5,20.03603076460891,3.1045093231459404,45.03207592256615,strong,Worsening,2
CZE,2009,2022,82.97840063631412,123.88227514904565,5,16.94342051777253,2.8727261161099746,40.903874512731534,strong,Worsening,3
FIN,2009,2022,49.4394841565462,88.16968586590201,5,17.248049316718145,3.184837408136699,38.73020170935581,strong,Worsening,4
ISR,2009,2022,87.07592012956383,125.6612715778395,5,14.478949711236035,2.4569228119430266,38.585351448275674,strong,Worsening,5
MYS,2009,2022,67.870016698499,102.86528443331878,4,16.476088370753445,2.6980696278678735,34.99526773481978,strong,Worsening,6
TAP,2009,2022,88.41255062732563,121.3286699423731,5,18.39197600608212,1.1397092139924219,32.91611931504747,strong,Worsening,7
PAN,2009,2022,45.82164032919434,77.11835267269765,3,17.855478646450486,2.574276553534663,31.296712343503316,strong,Worsening,8
CHE,2009,2022,83.91658253671028,114.24714653649141,5,19.47593867384576,2.7057929134805523,30.330563999781134,strong,Worsening,9
AUT,2009,2022,76.87000807771773,105.0442600371573,5,11.246168852790541,1.5602663790841673,28.174251959439573,strong,Worsening,10
SVK,2009,2022,99.55893712220342,126.1540799663614,5,14.695852323144852,1.7463360757571436,26.595142844157976,strong,Worsening,11
KOR,2009,2022,81.40437816552793,107.62907948361038,5,14.972884900196497,2.4396864939802776,26.224701318082452,strong,Worsening,12
GBR,2009,2022,72.29329894241965,95.1965252955618,5,9.3186866038409,1.7282423060558552,22.903226353142145,strong,Worsening,13
BEL,2009,2022,97.09515445753016,119.87619525804917,5,9.120994250366065,1.542809348394059,22.78104080051901,strong,Worsening,14
EST,2009,2022,59.74149590453476,81.90775872229858,5,10.949436838208415,1.801446577207347,22.166262817763823,strong,Worsening,15
LTU,2009,2022,86.99485978991379,109.02520811085122,5,11.206862187775466,1.7403642675169317,22.030348320937435,strong,Worsening,16
AUS,2009,2022,70.04679081593986,90.85359582038666,5,11.621896652504072,1.2850281978640932,20.8068050044468,strong,Worsening,17
VNM,2012,2022,63.13528665301163,83.30649484265683,3,11.894810857016862,2.191507500468337,20.1712081896452,strong,Worsening,18
LBN,2015,2018,66.86021944596058,86.90652587507532,2,14.174879213770515,6.682102143038246,20.046306429114736,weak,Insufficient time points,19
ISL,2009,2022,51.50809202930827,70.95585255229338,5,11.019689290773815,1.943741411082764,19.447760522985106,strong,Worsening,20
MAC,2009,2022,32.04818430851674,51.280847517174266,5,7.947341149664776,1.5271967861096356,19.232663208657527,strong,Worsening,21
NLD,2009,2022,81.8922786998159,99.42344181037498,5,10.850904615513622,1.6169051584311622,17.531163110559078,strong,Worsening,22
HKG,2009,2022,58.31302255041919,72.40099799589109,5,6.270743556724516,1.020359622895961,14.087975445471898,strong,Worsening,23
LUX,2009,2018,104.61980410330125,118.43763106271462,4,13.10264235000912,2.3449307695022754,13.817826959413367,strong,Worsening,24
DEU,2009,2022,87.02325070891243,98.77966190141501,5,21.809016560947907,2.4670334100430704,11.756411192502583,strong,Worsening,25
MDA,2009,2022,79.95164433988191,90.76844847580304,4,10.282290921801982,1.1786607529272797,10.816804135921132,strong,Worsening,26
NOR,2009,2022,69.80782917616949,80.5396651060754,5,9.344280766312416,1.2026578335926628,10.731835929905913,strong,Worsening,27
MLT,2009,2022,63.08575365172743,72.458391360154,4,10.24194203330721,0.637682601076346,9.372637708426566,strong,Worsening,28
PRT,2009,2022,106.58813917139992,115.59609178053142,5,5.5648473347590155,0.8050218630018936,9.007952609131507,strong,Worsening,29
POL,2009,2022,87.44859452207692,96.44752567908574,5,8.279453822664218,0.3366214934715621,8.998931157008826,strong,Worsening,30
MAR,2018,2022,60.65366396379039,69.28247211497262,2,6.101488757258709,2.1572020377955567,8.628808151182227,weak,Insufficient time points,31
IRL,2009,2022,69.1792969021102,77.6727455470924,5,7.720585915142754,-0.012844171460673027,8.493448644982209,strong,Worsening,32
MKD,2015,2022,72.62671899394365,80.59742960477854,3,5.986948170875045,1.0264074228848599,7.970710610834885,strong,Worsening,33
TUN,2009,2015,68.09325247978092,75.40233252724272,3,5.710053034186329,1.218180007910301,7.309080047461805,strong,Worsening,34
JPN,2009,2022,73.19998208212837,79.94515475762927,5,7.483517014064029,0.5350209704377102,6.745172675500896,strong,Worsening,35
CRI,2009,2018,76.78020001337603,83.25621235677858,4,13.08703125930183,-0.25912688544669893,6.4760123434025445,strong,Worsening,36
SWE,2009,2022,95.97871995008222,101.76042465780358,5,13.336585378004884,0.8496984665870602,5.78170470772136,strong,Worsening,37
QAZ,2018,2022,47.4052841354856,52.92884643083636,2,3.905748355348852,1.3808905738376893,5.523562295350757,weak,Insufficient time points,38
SVN,2009,2022,94.09564888653642,99.22389668950348,5,11.486409285277546,0.9002985893794827,5.128247802967053,strong,Worsening,39
QAT,2009,2022,49.60718996348942,54.454355912870994,5,7.05234471059858,0.6418652828988184,4.847165949381576,strong,Stable,40
FRA,2009,2022,107.00424153624078,111.83522333428891,5,5.451052047519837,0.7241243014300411,4.830981798048128,strong,Stable,41
QCN,2009,2012,93.43586021575288,96.10871415030283,2,1.8899931422414131,0.8909513115166495,2.6728539345499485,weak,Insufficient time points,42
BRN,2018,2022,78.3159621759549,80.68538502038405,2,1.6754349607941716,0.5923557111072881,2.3694228444291525,weak,Insufficient time points,43
