CNT,latest_year,latest_gap,latest_avg_math,n_timepoints,long_run_change,gap_volatility,trend_label,trend_evidence,gap_band,country_typology
ROU,2022,128.87221841528077,427.80410174654446,5,57.4920328675002,23.51413430591764,Worsening,strong,High gap,High-gap worsening
SVK,2022,126.1540799663614,465.0875985263927,5,26.595142844157976,14.695852323144852,Worsening,strong,High gap,High-gap worsening
ISR,2022,125.6612715778395,461.69438440401103,5,38.585351448275674,14.478949711236035,Worsening,strong,High gap,High-gap worsening
CZE,2022,123.88227514904565,486.8520490180768,5,40.903874512731534,16.94342051777253,Worsening,strong,High gap,High-gap worsening
TAP,2022,121.3286699423731,528.7057187120915,5,32.91611931504747,18.39197600608212,Worsening,strong,High gap,High-gap worsening
BEL,2022,119.87619525804917,490.3020178760754,5,22.78104080051901,9.120994250366065,Worsening,strong,High gap,High-gap worsening
BGR,2022,119.38058725748539,422.3666286227195,5,-5.517291310198459,11.890531589217195,Improving,strong,High gap,Persistently high-gap
LUX,2018,118.43763106271462,482.1622989893733,4,13.817826959413367,13.10264235000912,Worsening,strong,High gap,High-gap worsening
HUN,2022,118.22467737674225,475.66354685765816,5,-2.0311430439447236,2.627056839050486,Stable,strong,High gap,Persistently high-gap
PRT,2022,115.59609178053142,471.6931584936322,5,9.007952609131507,5.5648473347590155,Worsening,strong,High gap,High-gap worsening
CHE,2022,114.24714653649141,507.03469758668774,5,30.330563999781134,19.47593867384576,Worsening,strong,High gap,High-gap worsening
FRA,2022,111.83522333428891,480.5958294035037,5,4.830981798048128,5.451052047519837,Stable,strong,High gap,Persistently high-gap
LTU,2022,109.02520811085122,484.087084891712,5,22.030348320937435,11.206862187775466,Worsening,strong,High gap,High-gap worsening
KOR,2022,107.62907948361038,536.6512368602822,5,26.224701318082452,14.972884900196497,Worsening,strong,High gap,High-gap worsening
QAR,2015,105.57004650279714,459.67869489748466,1,0.0,,Insufficient time points,weak,High gap,Limited-trend evidence
QVE,2009,105.4079336898264,389.6700000266179,1,0.0,,Insufficient time points,weak,High gap,Limited-trend evidence
AUT,2022,105.0442600371573,487.4382034000152,5,28.174251959439573,11.246168852790541,Worsening,strong,High gap,High-gap worsening
BLR,2018,103.03594655801174,473.8626364780669,1,0.0,,Insufficient time points,weak,High gap,Limited-trend evidence
MYS,2022,102.86528443331878,417.2336881722609,4,34.99526773481978,16.476088370753445,Worsening,strong,High gap,High-gap worsening
SWE,2022,101.76042465780358,483.99500235785155,5,5.78170470772136,13.336585378004884,Worsening,strong,High gap,High-gap worsening
QCH,2015,100.7607499745863,530.9356261283825,1,0.0,,Insufficient time points,weak,High gap,Limited-trend evidence
NLD,2022,99.42344181037498,492.9475008798181,5,17.531163110559078,10.850904615513622,Worsening,strong,High gap,High-gap worsening
SVN,2022,99.22389668950348,489.59811629051364,5,5.128247802967053,11.486409285277546,Worsening,strong,High gap,High-gap worsening
DEU,2022,98.77966190141501,480.3343448731241,5,11.756411192502583,21.809016560947907,Worsening,strong,High gap,High-gap worsening
NZL,2022,97.78133214033124,490.5652942141494,5,2.2407879634138794,3.122446871105131,Stable,strong,High gap,Persistently high-gap
SGP,2022,96.94205908024492,581.4959687105312,5,-1.2795266288242146,9.992110478798253,Stable,strong,High gap,Persistently high-gap
POL,2022,96.44752567908574,490.9636480167501,5,8.998931157008826,8.279453822664218,Worsening,strong,High gap,High-gap worsening
QCN,2012,96.10871415030283,619.806217319961,2,2.6728539345499485,1.8899931422414131,Insufficient time points,weak,Upper-middle gap,Limited-trend evidence
GBR,2022,95.1965252955618,503.68577979504454,5,22.903226353142145,9.3186866038409,Worsening,strong,Upper-middle gap,Mixed
USA,2022,95.11517393804337,463.4244071103353,5,-4.381128881537222,11.188670560334678,Stable,strong,Upper-middle gap,Mixed
MNG,2022,94.81401206502625,426.6768685947364,1,0.0,,Insufficient time points,weak,Upper-middle gap,Limited-trend evidence
MUS,2009,92.22264939423678,418.1841342362341,1,0.0,,Insufficient time points,weak,Upper-middle gap,Limited-trend evidence
URY,2022,91.95835205539947,420.687680378247,5,-15.356792636588807,10.19427270629188,Improving,strong,Upper-middle gap,Improving from higher gap
AUS,2022,90.85359582038666,494.055815924861,5,20.8068050044468,11.621896652504072,Worsening,strong,Upper-middle gap,Mixed
MDA,2022,90.76844847580304,421.0213015408751,4,10.816804135921132,10.282290921801982,Worsening,strong,Upper-middle gap,Mixed
UKR,2018,89.65741427638585,454.46830018278916,1,0.0,,Insufficient time points,weak,Upper-middle gap,Limited-trend evidence
KGZ,2009,88.57916715581166,337.92807186969816,1,0.0,,Insufficient time points,weak,Upper-middle gap,Limited-trend evidence
QUR,2022,88.5340951860735,441.2302735915984,1,0.0,,Insufficient time points,weak,Upper-middle gap,Limited-trend evidence
PER,2022,88.41148196916924,395.76113894729156,5,-31.499762700992505,12.418250369950808,Improving,strong,Upper-middle gap,Improving from higher gap
QUC,2015,88.1839255492589,501.3570877950417,1,0.0,,Insufficient time points,weak,Upper-middle gap,Limited-trend evidence
FIN,2022,88.16968586590201,488.40803313030545,5,38.73020170935581,17.248049316718145,Worsening,strong,Upper-middle gap,Mixed
GRC,2022,87.82858164231146,437.96076509253476,5,-2.554350276813068,3.936457929030647,Stable,strong,Upper-middle gap,Mixed
BRA,2022,87.26616880644343,389.2869451686635,5,-6.835179111096295,10.537274653786598,Improving,strong,Upper-middle gap,Improving from higher gap
LBN,2018,86.90652587507532,394.1522778737841,2,20.046306429114736,14.174879213770515,Insufficient time points,weak,Upper-middle gap,Limited-trend evidence
ITA,2022,85.29386233681345,470.8188018920225,5,45.03207592256615,20.03603076460891,Worsening,strong,Upper-middle gap,Mixed
QUD,2015,84.64015828769004,378.7421462844239,1,0.0,,Insufficient time points,weak,Upper-middle gap,Limited-trend evidence
VNM,2022,83.30649484265683,475.15543232561794,3,20.1712081896452,11.894810857016862,Worsening,strong,Upper-middle gap,Mixed
CRI,2018,83.25621235677858,408.35754332574874,4,6.4760123434025445,13.08703125930183,Worsening,strong,Upper-middle gap,Mixed
EST,2022,81.90775872229858,514.2655603346002,5,22.166262817763823,10.949436838208415,Worsening,strong,Upper-middle gap,Mixed
TUR,2022,81.4899214769004,446.8999277845979,5,-34.538543528345826,20.314969837811475,Improving,strong,Upper-middle gap,Improving from higher gap
BRN,2022,80.68538502038405,455.64766840787024,2,2.3694228444291525,1.6754349607941716,Insufficient time points,weak,Upper-middle gap,Limited-trend evidence
MKD,2022,80.59742960477854,392.07601975122856,3,7.970710610834885,5.986948170875045,Worsening,strong,Upper-middle gap,Mixed
NOR,2022,80.5396651060754,470.2570363394946,5,10.731835929905913,9.344280766312416,Worsening,strong,Upper-middle gap,Mixed
ESP,2022,80.22476812766189,483.3274392624749,5,-2.61017303122793,8.379589014245065,Stable,strong,Lower-middle gap,Mixed
JPN,2022,79.94515475762927,528.2886960884978,5,6.745172675500896,7.483517014064029,Worsening,strong,Lower-middle gap,Mixed
TTO,2015,79.60910886985187,420.9615982396161,2,-2.950626290830428,2.0864078589935056,Insufficient time points,weak,Lower-middle gap,Limited-trend evidence
QES,2015,79.23328537715429,491.570233270954,1,0.0,,Insufficient time points,weak,Lower-middle gap,Limited-trend evidence
QUE,2015,78.65522484988588,471.4774934283368,1,0.0,,Insufficient time points,weak,Lower-middle gap,Limited-trend evidence
IRL,2022,77.6727455470924,493.3494964661999,5,8.493448644982209,7.720585915142754,Worsening,strong,Lower-middle gap,Mixed
QCI,2018,77.37204197090534,590.2849532355743,1,0.0,,Insufficient time points,weak,Lower-middle gap,Limited-trend evidence
PAN,2022,77.11835267269765,362.36403040744744,3,31.296712343503316,17.855478646450486,Worsening,strong,Lower-middle gap,Mixed
ARG,2022,75.50244024714709,390.31849171560293,4,-21.653416347584084,16.931294122874803,Improving,strong,Lower-middle gap,Improving from higher gap
TUN,2015,75.40233252724272,369.43534660560556,3,7.309080047461805,5.710053034186329,Worsening,strong,Lower-middle gap,Mixed
LVA,2022,75.0091738396087,485.17292553979223,5,-1.3980995832820895,5.733040429953582,Stable,strong,Lower-middle gap,Mixed
COL,2022,74.44261583119578,383.67490001520997,5,-8.0372908585328,6.929251291320605,Improving,strong,Lower-middle gap,Improving from higher gap
SRB,2022,74.13949072562059,441.4006463028804,4,-5.194612972237451,9.656197623399043,Improving,strong,Lower-middle gap,Improving from higher gap
MLT,2022,72.458391360154,474.0070996929605,4,9.372637708426566,10.24194203330721,Worsening,strong,Lower-middle gap,Mixed
HKG,2022,72.40099799589109,546.5467492733352,5,14.087975445471898,6.270743556724516,Worsening,strong,Lower-middle gap,Mixed
QRS,2012,72.19178215407157,484.77942341949216,1,0.0,,Insufficient time points,weak,Lower-middle gap,Limited-trend evidence
ISL,2022,70.95585255229338,459.3664065990817,5,19.447760522985106,11.019689290773815,Worsening,strong,Lower-middle gap,Mixed
MAR,2022,69.28247211497262,372.25371600279897,2,8.628808151182227,6.101488757258709,Insufficient time points,weak,Lower-middle gap,Limited-trend evidence
MNE,2022,68.64277255683197,407.3758583915927,5,-2.0687493920555085,9.547824470033902,Stable,strong,Lower-middle gap,Mixed
DNK,2022,67.31922989459906,493.51814375144096,5,-2.671062441289564,9.115550066621628,Stable,strong,Lower-middle gap,Mixed
HRV,2022,65.78307474498928,466.5300491170407,5,-7.652609916651386,3.7410620118403655,Improving,strong,Lower-middle gap,Improving from higher gap
PSE,2022,64.18305831277951,377.65831047593474,1,0.0,,Insufficient time points,weak,Lower-middle gap,Limited-trend evidence
GEO,2022,63.73278237146337,398.8645850175862,4,-3.178659655088495,11.289782137777692,Stable,strong,Lower-middle gap,Mixed
CHL,2022,63.672132831711394,412.4349012133147,5,-19.506940486538213,8.120204764120754,Improving,strong,Lower-middle gap,Improving from higher gap
MEX,2022,63.381476469511995,401.8676816763283,5,-29.774619126326854,11.99486251115037,Improving,strong,Lower-middle gap,Improving from higher gap
PRY,2022,63.186710401864275,342.45455996717186,1,0.0,,Insufficient time points,weak,Lower-middle gap,Limited-trend evidence
RUS,2018,62.15194220114108,486.9202090729331,4,-4.55638952971583,9.579747237519733,Stable,strong,Lower-middle gap,Mixed
CAN,2022,61.54196180928278,523.642264530524,5,-0.30045813512361974,5.80939933065381,Stable,strong,Low gap,Relatively equitable
BIH,2018,59.391117021549405,408.59202758271607,1,0.0,,Insufficient time points,weak,Low gap,Limited-trend evidence
LIE,2012,58.773768854868194,534.1762237632894,2,-21.214092536788144,15.000628689481825,Insufficient time points,weak,Low gap,Limited-trend evidence
SLV,2022,56.06255091270231,350.2311657520647,1,0.0,,Insufficient time points,weak,Low gap,Limited-trend evidence
DOM,2022,55.94089361181881,347.0401799118653,3,-1.1390147519360312,1.1150417444534306,Stable,strong,Low gap,Relatively equitable
ALB,2022,54.73305513278626,375.50680644503177,3,-13.639799004046779,13.45827779090596,Improving,strong,Low gap,Relatively equitable
QAT,2022,54.454355912870994,409.37831987184654,5,4.847165949381576,7.05234471059858,Stable,strong,Low gap,Relatively equitable
THA,2022,53.49816681625407,387.46027713003025,5,-18.008758643007184,11.815104465010892,Improving,strong,Low gap,Relatively equitable
QAZ,2022,52.92884643083636,397.6392026029085,2,5.523562295350757,3.905748355348852,Insufficient time points,weak,Low gap,Limited-trend evidence
ARE,2022,52.500880930358846,419.97190020831204,5,-26.741352058761436,19.333018071438307,Improving,strong,Low gap,Relatively equitable
QMR,2018,51.39376077882247,495.15795758299686,1,0.0,,Insufficient time points,weak,Low gap,Limited-trend evidence
MAC,2022,51.280847517174266,551.1574702698024,5,19.232663208657527,7.947341149664776,Worsening,strong,Low gap,Mixed
GTM,2022,49.58282411334784,342.5834931728391,1,0.0,,Insufficient time points,weak,Low gap,Limited-trend evidence
SAU,2022,47.78210594376145,393.90029521249056,2,-22.20083020864297,15.698357588502597,Insufficient time points,weak,Low gap,Limited-trend evidence
QRT,2018,45.47267225620652,474.1547707009076,1,0.0,,Insufficient time points,weak,Low gap,Limited-trend evidence
JOR,2022,45.346800471124084,371.08251494879244,5,-13.616013897209882,8.036081715695191,Improving,strong,Low gap,Relatively equitable
JAM,2022,45.094160935588775,381.3246612947851,1,0.0,,Insufficient time points,weak,Low gap,Limited-trend evidence
PHL,2022,45.057897671324156,368.46331580041755,2,-35.53419690279907,25.126471593987237,Insufficient time points,weak,Low gap,Limited-trend evidence
KAZ,2022,44.927088705948336,415.266265716607,4,-21.365497686674132,14.842319047582963,Improving,strong,Low gap,Relatively equitable
KHM,2022,42.50985171112302,344.5684887641056,1,0.0,,Insufficient time points,weak,Low gap,Limited-trend evidence
KSV,2022,40.509639149018994,358.40744441830543,3,-9.874830277438832,5.181054251611999,Improving,strong,Low gap,Relatively equitable
QHP,2009,38.163572474296814,340.88864893831675,1,0.0,,Insufficient time points,weak,Low gap,Limited-trend evidence
QTN,2009,37.57995917565438,351.9412787349091,1,0.0,,Insufficient time points,weak,Low gap,Limited-trend evidence
DZA,2015,29.857584970629944,362.11670664885315,1,0.0,,Insufficient time points,weak,Low gap,Limited-trend evidence
UZB,2022,29.179503026034524,366.17634669825935,1,0.0,,Insufficient time points,weak,Low gap,Limited-trend evidence
IDN,2022,25.185068052186068,360.5298894701561,5,-19.165381348535902,14.451612017286056,Improving,strong,Low gap,Relatively equitable
AZE,2009,12.434349190832108,431.310191988016,1,0.0,,Insufficient time points,weak,Low gap,Limited-trend evidence
