CNT,SCHOOLID,SCHTYPE,SCHSIZE,STRATIO,COUNTRY_AVG_GAP,TRAJECTORY,EQUITY_RISK_SCORE
ALB,800001.0,3.0,652.0,16.9351,52.4,Closing,20.1
ALB,800002.0,3.0,183.0,11.4375,52.4,Closing,22.1
ALB,800003.0,1.0,121.0,7.1176,52.4,Closing,18.1
ALB,800004.0,3.0,1074.0,16.9134,52.4,Closing,20.1
ALB,800005.0,3.0,317.0,11.7407,52.4,Closing,22.1
ALB,800006.0,3.0,577.0,14.987,52.4,Closing,20.1
ALB,800007.0,3.0,282.0,10.2545,52.4,Closing,22.1
ALB,800008.0,3.0,380.0,10.1333,52.4,Closing,22.1
ALB,800009.0,3.0,377.0,10.6197,52.4,Closing,22.1
ALB,800010.0,3.0,229.0,8.0351,52.4,Closing,22.1
ALB,800011.0,3.0,88.0,7.04,52.4,Closing,22.1
ALB,800012.0,3.0,267.0,8.9,52.4,Closing,22.1
ALB,800013.0,3.0,378.0,13.5,52.4,Closing,20.1
ALB,800014.0,3.0,456.0,15.2,52.4,Closing,20.1
ALB,800015.0,3.0,205.0,10.7895,52.4,Closing,22.1
ALB,800016.0,3.0,,,52.4,Closing,21.1
ALB,800017.0,3.0,275.0,11.0,52.4,Closing,22.1
ALB,800018.0,3.0,94.0,7.8333,52.4,Closing,22.1
ALB,800019.0,3.0,555.0,15.8571,52.4,Closing,20.1
ALB,800020.0,3.0,1086.0,15.4043,52.4,Closing,20.1
ALB,800021.0,3.0,233.0,9.32,52.4,Closing,22.1
ALB,800022.0,3.0,871.0,17.7755,52.4,Closing,20.1
ALB,800023.0,1.0,511.0,12.9367,52.4,Closing,16.1
ALB,800024.0,3.0,309.0,13.7333,52.4,Closing,20.1
ALB,800025.0,3.0,256.0,11.6364,52.4,Closing,22.1
ALB,800026.0,3.0,108.0,10.8,52.4,Closing,22.1
ALB,800027.0,3.0,900.0,15.6522,52.4,Closing,20.1
ALB,800028.0,3.0,585.0,13.4483,52.4,Closing,20.1
ALB,800029.0,3.0,675.0,10.7143,52.4,Closing,22.1
ALB,800031.0,3.0,498.0,13.6438,52.4,Closing,20.1
ALB,800032.0,3.0,185.0,7.551,52.4,Closing,22.1
ALB,800033.0,3.0,230.0,8.2143,52.4,Closing,22.1
ALB,800034.0,3.0,368.0,11.3231,52.4,Closing,22.1
ALB,800035.0,3.0,122.0,8.7143,52.4,Closing,22.1
ALB,800036.0,1.0,92.0,8.7619,52.4,Closing,18.1
ALB,800038.0,3.0,342.0,17.1,52.4,Closing,20.1
ALB,800039.0,3.0,203.0,9.0222,52.4,Closing,22.1
ALB,800040.0,3.0,830.0,17.4737,52.4,Closing,20.1
ALB,800041.0,3.0,65.0,4.0625,52.4,Closing,22.1
ALB,800042.0,1.0,,,52.4,Closing,17.1
ALB,800043.0,3.0,98.0,6.5333,52.4,Closing,22.1
ALB,800044.0,3.0,116.0,7.7333,52.4,Closing,22.1
ALB,800045.0,3.0,352.0,11.7333,52.4,Closing,22.1
ALB,800046.0,1.0,113.0,10.2727,52.4,Closing,18.1
ALB,800047.0,3.0,496.0,16.8136,52.4,Closing,20.1
ALB,800048.0,3.0,256.0,11.907,52.4,Closing,22.1
ALB,800049.0,3.0,513.0,13.1538,52.4,Closing,20.1
ALB,800050.0,3.0,1160.0,15.0649,52.4,Closing,20.1
ALB,800051.0,3.0,621.0,18.2647,52.4,Closing,20.1
ALB,800052.0,3.0,127.0,7.9375,52.4,Closing,22.1
ALB,800053.0,3.0,122.0,8.4138,52.4,Closing,22.1
ALB,800054.0,3.0,981.0,19.4257,52.4,Closing,20.1
ALB,800055.0,3.0,86.0,12.2857,52.4,Closing,22.1
ALB,800056.0,3.0,365.0,9.8649,52.4,Closing,22.1
ALB,800057.0,3.0,634.0,12.9388,52.4,Closing,20.1
ALB,800058.0,1.0,,,52.4,Closing,17.1
ALB,800059.0,3.0,312.0,11.3455,52.4,Closing,22.1
ALB,800060.0,3.0,464.0,11.1807,52.4,Closing,22.1
ALB,800061.0,3.0,1128.0,19.6174,52.4,Closing,20.1
ALB,800062.0,3.0,470.0,14.6875,52.4,Closing,20.1
ALB,800063.0,3.0,414.0,19.7143,52.4,Closing,20.1
ALB,800064.0,3.0,1266.0,16.9933,52.4,Closing,20.1
ALB,800065.0,3.0,860.0,16.0748,52.4,Closing,20.1
ALB,800066.0,1.0,119.0,7.2121,52.4,Closing,18.1
ALB,800067.0,3.0,64.0,7.1111,52.4,Closing,22.1
ALB,800068.0,3.0,183.0,8.5116,52.4,Closing,22.1
ALB,800069.0,3.0,365.0,9.8649,52.4,Closing,22.1
ALB,800070.0,3.0,179.0,8.95,52.4,Closing,22.1
ALB,800071.0,3.0,250.0,13.8889,52.4,Closing,20.1
ALB,800072.0,3.0,290.0,10.5455,52.4,Closing,22.1
ALB,800073.0,3.0,1282.0,14.9942,52.4,Closing,20.1
ALB,800074.0,1.0,544.0,11.956,52.4,Closing,18.1
ALB,800075.0,3.0,218.0,7.6491,52.4,Closing,22.1
ALB,800077.0,3.0,403.0,12.0299,52.4,Closing,22.1
ALB,800078.0,3.0,137.0,7.8286,52.4,Closing,22.1
ALB,800079.0,3.0,193.0,11.697,52.4,Closing,22.1
ALB,800080.0,3.0,251.0,12.55,52.4,Closing,20.1
ALB,800081.0,3.0,637.0,,52.4,Closing,21.1
ALB,800082.0,3.0,88.0,8.8,52.4,Closing,22.1
ALB,800083.0,3.0,258.0,10.1176,52.4,Closing,22.1
ALB,800084.0,3.0,423.0,12.4412,52.4,Closing,22.1
ALB,800085.0,3.0,160.0,11.4286,52.4,Closing,22.1
ALB,800087.0,1.0,466.0,11.0952,52.4,Closing,18.1
ALB,800088.0,3.0,247.0,8.8214,52.4,Closing,22.1
ALB,800089.0,1.0,215.0,13.4375,52.4,Closing,16.1
ALB,800090.0,3.0,462.0,13.5882,52.4,Closing,20.1
ALB,800091.0,3.0,1689.0,18.663,52.4,Closing,20.1
ALB,800092.0,1.0,1011.0,16.5738,52.4,Closing,16.1
ALB,800093.0,3.0,72.0,6.0,52.4,Closing,22.1
ALB,800094.0,3.0,1041.0,17.35,52.4,Closing,20.1
ALB,800095.0,3.0,838.0,18.2174,52.4,Closing,20.1
ALB,800096.0,3.0,649.0,17.0789,52.4,Closing,20.1
ALB,800097.0,1.0,546.0,14.56,52.4,Closing,16.1
ALB,800098.0,1.0,364.0,8.2727,52.4,Closing,18.1
ALB,800099.0,3.0,416.0,14.8571,52.4,Closing,20.1
ALB,800100.0,3.0,932.0,21.9294,52.4,Closing,20.1
ALB,800101.0,3.0,182.0,8.6667,52.4,Closing,22.1
ALB,800102.0,3.0,,,52.4,Closing,21.1
ALB,800103.0,3.0,88.0,6.2857,52.4,Closing,22.1
ALB,800104.0,3.0,120.0,8.5714,52.4,Closing,22.1
ALB,800105.0,3.0,197.0,8.9545,52.4,Closing,22.1
ALB,800106.0,3.0,29.0,4.8333,52.4,Closing,22.1
ALB,800107.0,3.0,231.0,9.625,52.4,Closing,22.1
ALB,800108.0,1.0,316.0,15.4146,52.4,Closing,16.1
ALB,800109.0,3.0,294.0,10.1379,52.4,Closing,22.1
ALB,800110.0,3.0,157.0,10.4667,52.4,Closing,22.1
ALB,800111.0,3.0,451.0,13.2647,52.4,Closing,20.1
ALB,800112.0,3.0,203.0,8.12,52.4,Closing,22.1
ALB,800113.0,3.0,337.0,13.48,52.4,Closing,20.1
ALB,800114.0,3.0,282.0,13.4286,52.4,Closing,20.1
ALB,800115.0,3.0,776.0,20.973,52.4,Closing,20.1
ALB,800116.0,3.0,749.0,18.962,52.4,Closing,20.1
ALB,800117.0,3.0,448.0,16.2909,52.4,Closing,20.1
ALB,800118.0,3.0,711.0,17.3415,52.4,Closing,20.1
ALB,800119.0,3.0,89.0,3.4231,52.4,Closing,22.1
ALB,800120.0,3.0,1049.0,16.3906,52.4,Closing,20.1
ALB,800123.0,,930.0,17.8846,52.4,Closing,18.1
ALB,800125.0,3.0,505.0,13.6486,52.4,Closing,20.1
ALB,800126.0,3.0,597.0,16.8169,52.4,Closing,20.1
ALB,800127.0,3.0,29.0,5.8,52.4,Closing,22.1
ALB,800128.0,3.0,1045.0,17.7119,52.4,Closing,20.1
ALB,800129.0,3.0,112.0,7.2258,52.4,Closing,22.1
ALB,800130.0,3.0,616.0,18.1176,52.4,Closing,20.1
ALB,800131.0,3.0,460.0,13.1429,52.4,Closing,20.1
ALB,800132.0,3.0,1140.0,16.7647,52.4,Closing,20.1
ALB,800133.0,1.0,364.0,20.8,52.4,Closing,16.1
ALB,800134.0,3.0,69.0,8.625,52.4,Closing,22.1
ALB,800135.0,3.0,91.0,6.7407,52.4,Closing,22.1
ALB,800137.0,3.0,341.0,12.4,52.4,Closing,22.1
ALB,800138.0,3.0,779.0,12.0775,52.4,Closing,22.1
ALB,800139.0,3.0,46.0,3.2857,52.4,Closing,22.1
ALB,800140.0,3.0,123.0,7.0286,52.4,Closing,22.1
ALB,800141.0,3.0,355.0,13.3962,52.4,Closing,20.1
ALB,800142.0,3.0,852.0,16.7059,52.4,Closing,20.1
ALB,800143.0,3.0,74.0,7.4,52.4,Closing,22.1
ALB,800144.0,3.0,106.0,8.1538,52.4,Closing,22.1
ALB,800145.0,3.0,310.0,15.8974,52.4,Closing,20.1
ALB,800146.0,3.0,396.0,15.2308,52.4,Closing,20.1
ALB,800147.0,3.0,521.0,19.2963,52.4,Closing,20.1
ALB,800148.0,3.0,,,52.4,Closing,21.1
ALB,800149.0,3.0,597.0,14.561,52.4,Closing,20.1
ALB,800150.0,3.0,187.0,5.6667,52.4,Closing,22.1
ALB,800151.0,3.0,199.0,12.4375,52.4,Closing,22.1
ALB,800153.0,1.0,136.0,9.0667,52.4,Closing,18.1
ALB,800154.0,3.0,140.0,12.7273,52.4,Closing,20.1
ALB,800155.0,3.0,57.0,3.1667,52.4,Closing,22.1
ALB,800156.0,3.0,767.0,17.4318,52.4,Closing,20.1
ALB,800157.0,3.0,190.0,15.8333,52.4,Closing,20.1
ALB,800158.0,3.0,800.0,13.3333,52.4,Closing,20.1
ALB,800159.0,3.0,539.0,13.8205,52.4,Closing,20.1
ALB,800160.0,3.0,397.0,16.5417,52.4,Closing,20.1
ALB,800161.0,3.0,738.0,11.9032,52.4,Closing,22.1
ALB,800162.0,3.0,922.0,14.0763,52.4,Closing,20.1
ALB,800163.0,1.0,299.0,13.5909,52.4,Closing,16.1
ALB,800164.0,3.0,96.0,6.6207,52.4,Closing,22.1
ALB,800165.0,1.0,467.0,16.386,52.4,Closing,16.1
ALB,800166.0,3.0,423.0,15.9623,52.4,Closing,20.1
ALB,800167.0,3.0,99.0,7.6154,52.4,Closing,22.1
ALB,800168.0,3.0,537.0,13.2593,52.4,Closing,20.1
ALB,800169.0,1.0,455.0,16.25,52.4,Closing,16.1
ALB,800170.0,3.0,221.0,9.6087,52.4,Closing,22.1
ALB,800172.0,1.0,439.0,8.1296,52.4,Closing,18.1
ALB,800173.0,3.0,92.0,8.3636,52.4,Closing,22.1
ALB,800174.0,3.0,662.0,15.5765,52.4,Closing,20.1
ALB,800175.0,1.0,162.0,7.2,52.4,Closing,18.1
ALB,800176.0,3.0,502.0,13.9444,52.4,Closing,20.1
ALB,800177.0,3.0,107.0,5.6316,52.4,Closing,22.1
ALB,800178.0,3.0,,,52.4,Closing,21.1
ALB,800179.0,3.0,220.0,11.0,52.4,Closing,22.1
ALB,800180.0,3.0,1137.0,20.4865,52.4,Closing,20.1
ALB,800183.0,3.0,95.0,7.3077,52.4,Closing,22.1
ALB,800184.0,3.0,705.0,16.0227,52.4,Closing,20.1
ALB,800185.0,1.0,,,52.4,Closing,17.1
ALB,800186.0,3.0,318.0,7.8519,52.4,Closing,22.1
ALB,800187.0,3.0,715.0,17.439,52.4,Closing,20.1
ALB,800188.0,3.0,857.0,17.14,52.4,Closing,20.1
ALB,800189.0,3.0,498.0,14.0282,52.4,Closing,20.1
ALB,800190.0,3.0,572.0,17.6,52.4,Closing,20.1
ALB,800191.0,3.0,479.0,14.7385,52.4,Closing,20.1
ALB,800192.0,3.0,1058.0,13.5641,52.4,Closing,20.1
ALB,800193.0,3.0,317.0,5.0317,52.4,Closing,22.1
ALB,800194.0,3.0,101.0,10.1,52.4,Closing,22.1
ALB,800195.0,3.0,647.0,15.0465,52.4,Closing,20.1
ALB,800196.0,3.0,,,52.4,Closing,21.1
ALB,800197.0,3.0,1306.0,16.961,52.4,Closing,20.1
ALB,800198.0,3.0,965.0,12.293,52.4,Closing,22.1
ALB,800199.0,3.0,314.0,10.6441,52.4,Closing,22.1
ALB,800200.0,3.0,414.0,13.3548,52.4,Closing,20.1
ALB,800201.0,3.0,802.0,16.5361,52.4,Closing,20.1
ALB,800202.0,1.0,371.0,9.1605,52.4,Closing,18.1
ALB,800203.0,1.0,463.0,12.6849,52.4,Closing,16.1
